variable,fuel,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Primary Energy Production,total,Brazil,Quad Btu,1.979804617,2.084563177,2.340563958,2.708151304,3.287208391,3.638965391,3.63890669,3.702800071,3.798301785,3.992854747,4.032054918,4.206438532,4.239132671,4.358422644,4.558830034,4.770266128,5.166646439,5.426223128,5.811922124,6.191094742,6.621488031,6.428639901,6.99989773,7.357848251,7.486423945,8.042148857,8.420832264,8.845985448,9.221618947,9.53202327,10.14202794,10.48229557,10.37074307,10.31065874,10.80696472,11.16119864,11.62592174
Primary Energy Production,total,Brunei,Quad Btu,0.9457817,0.8068966,0.76423155,0.789739575,0.7360577,0.710320325,0.73572175,0.689564365,0.681559972,0.6717206,0.7242153,0.680761625,0.704162266,0.713079893,0.72391296,0.75121499,0.727105716,0.741391547,0.702708091,0.776085635,0.816510007,0.83679545,0.792876749,0.828078086,0.851107925,0.863327065,0.972925878,0.863986339,0.827262183,0.730812641,0.751849818,0.814514614,0.770258984,0.722967744,0.671141238,0.708482264,0.681639862
Primary Energy Production,total,Bulgaria,Quad Btu,0.295820436,0.319391342,0.346985552,0.368694745,0.379455168,0.361977063,0.379143075,0.394156231,0.409208896,0.40622044,0.367982057,0.335914941,0.329205378,0.346137078,0.353932646,0.393617401,0.416636874,0.391359971,0.391581475,0.348379329,0.379962225,0.3823389,0.404063836,0.37412162,0.376496021,0.496931914,0.415562871,0.363625979,0.370767656,0.359960267,0.394789721,0.445509774,0.431535813,0.398503029,0.46063161,0.495424137,0.453688594
Primary Energy Production,total,Burkina Faso,Quad Btu,0,0,0,0,0,0,0,0,0,0,9.36E-05,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000547649,0.000651072,0.000972,0.001006047,0.000994581,0.000792141,0.001090235,0.001326082,0.001278306,0.001190232,0.00087444,0.001008696,0.00110771,0.000962412,0.000983155,0.001440192
Primary Energy Production,total,Burma (Myanmar),Quad Btu,0.086958328,0.081946268,0.093642495,0.097841391,0.106138854,0.107327735,0.104799731,0.092007981,0.079185412,0.087117649,0.082955795,0.084780322,0.086489388,0.091432559,0.102430852,0.101167011,0.095042692,0.095627168,0.100688586,0.090118064,0.165615142,0.275139484,0.3780943,0.43135628,0.457735551,0.569177606,0.567052474,0.601924578,0.561649933,0.532092349,0.55612516,0.574564702,0.580252311,0.598682759,0.701439546,0.782067688,0.838440609
Primary Energy Production,total,Burundi,Quad Btu,2.08E-05,2.09E-05,2.09E-05,0.00024196,0.00040716,0.000480562,0.000637206,0.000979386,0.001063372,0.001064064,0.001113014,0.00114796,0.001075568,0.001113372,0.001176024,0.001206504,0.00120978,0.00122556,0.001111473,0.000991922,0.000999698,0.001177962,0.001281798,0.0010125,0.00090144,0.000949905,0.000912548,0.001146544,0.001093794,0.0011712,0.001433156,0.00131166,0.001398852,0.001412068,0.0014265,0.00223656,0.002594192
Primary Energy Production,total,Cambodia,Quad Btu,0.000509012,0.000554009,0.00057497,0.000420801,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000496125,0.000420672,0.000589941,0.000644735,0.00064246,0.000610948,0.000569008,0.000539507,0.000751047,0.005131979,0.009791928,0.017729493,0.018994918,0.02455989
Primary Energy Production,total,Cameroon,Quad Btu,0.140552092,0.207468355,0.257483081,0.269064156,0.315768,0.425253265,0.408535542,0.401489079,0.380388004,0.396290864,0.376207258,0.359904032,0.331688448,0.302510514,0.262153276,0.26906664,0.264651724,0.300674953,0.293844585,0.250960026,0.219076328,0.202337683,0.183202614,0.181283305,0.182184288,0.217230578,0.233238968,0.219518204,0.22061045,0.207898432,0.190488209,0.181739179,0.181003527,0.175750777,0.224043072,0.278137953,0.269088052
Primary Energy Production,total,Canada,Quad Btu,10.1523418,9.962608377,9.959505985,10.21234489,11.15388223,11.81126542,11.72067751,12.36079751,13.18211657,13.08123469,13.15502638,13.6867851,14.23114465,15.12731916,16.05716305,16.52305247,16.91112961,17.05943986,17.04717696,17.31100324,17.77754769,17.89437165,18.24417014,18.16113586,18.5524038,18.76597583,19.11171394,19.42099478,18.94357385,18.27585747,18.27205734,18.68508813,19.09429325,19.90622271,20.79335974,20.91988802,21.17667062
Primary Energy Production,total,Cape Verde,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-05,5.16E-05,6.19E-05,7.24E-05,7.15E-05,8.16E-05,8.18E-05,8.16E-05,6.20E-05,6.10E-05,5.06E-05,6.01E-05,6.00E-05,6.94E-05,6.92E-05,5.91E-05,6.83E-05,3.90E-05,0.0002429,0.000656604,0.000744198,0.00077031,0.000717563,0.0006924
Primary Energy Production,total,Cayman Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,total,Central African Republic,Quad Btu,0.000685608,0.000679445,0.000710872,0.000673281,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.00130828,0.001421451,0.00142169,0.00147313,0.001487364,0.001401578,0.001573133
Primary Energy Production,total,Chad,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822992,0.3895944,0.4027104,0.3596736,0.32887232,0.29084416,0.27221536,0.2791056,0.26184288,0.23862384,0.22776,0.2755896,0.280292396,0.260801378
Primary Energy Production,total,Chile,Quad Btu,0.271118155,0.287380346,0.262349197,0.257915185,0.266398656,0.269700645,0.2572806,0.260675249,0.254975155,0.255925266,0.298338417,0.288639905,0.32196957,0.325902738,0.324866828,0.349150694,0.332788178,0.332077332,0.288327286,0.225578898,0.279426241,0.312753082,0.344937353,0.327587574,0.321471922,0.378837552,0.395648671,0.334841602,0.354711954,0.383222941,0.338414957,0.344465667,0.321452318,0.357561176,0.405341635,0.411785201,0.413428772
Primary Energy Production,total,China,Quad Btu,19.5401028,19.35854341,20.43611179,21.85932295,23.91938469,26.2838629,27.06843035,28.04380913,29.37762288,31.19795882,31.87597702,32.13092342,32.90941437,34.05010028,36.21450281,37.95582514,40.03137767,39.42527013,39.05847447,38.82150443,41.26114634,44.01104412,46.20213715,52.7645451,60.32792214,66.77939352,72.18649244,77.52309001,82.35402865,87.79796782,97.03308664,104.9464027,110.9876688,113.4037482,114.7922477,114.298447,107.1173007
Primary Energy Production,total,Colombia,Quad Btu,0.66040828,0.670393547,0.753970016,0.782411661,0.928521062,1.013831906,1.381373715,1.548004514,1.608903596,1.77261146,1.922326618,1.866006004,1.888689367,1.982400842,2.05448113,2.429874098,2.659043713,2.785657935,2.983300252,3.146426716,3.009414831,3.006179627,2.930771386,3.026641514,3.140306931,3.274911972,3.502123486,3.533169272,3.926747948,4.079582999,4.416005364,5.059166932,5.22630534,5.305414935,5.347294252,5.317173463,5.178422701
Primary Energy Production,total,Comoros,Quad Btu,2.08E-05,2.09E-05,2.09E-05,2.10E-05,2.09E-05,2.09E-05,2.09E-05,2.08E-05,2.06E-05,2.09E-05,2.08E-05,2.09E-05,2.07E-05,2.06E-05,2.06E-05,2.06E-05,2.07E-05,2.04E-05,2.04E-05,2.05E-05,2.04E-05,2.07E-05,3.05E-05,4.05E-05,5.01E-05,5.00E-05,4.96E-05,4.94E-05,4.93E-05,4.88E-05,4.88E-05,4.86E-05,2.85E-05,1.91E-05,1.90E-05,1.86E-05,1.85E-05
Primary Energy Production,total,Congo (Brazzaville),Quad Btu,0.139087812,0.177532806,0.190601997,0.186962684,0.26000108,0.258524736,0.25471439,0.265039425,0.307210904,0.350081376,0.35324597,0.334173064,0.372541022,0.385371095,0.382378204,0.400304016,0.42977418,0.558151798,0.581703783,0.5925627,0.615272186,0.560220884,0.547438912,0.538533179,0.514332736,0.503116435,0.528753571,0.462091594,0.52226471,0.598822953,0.765816398,0.669073302,0.619109688,0.589477686,0.569602494,0.578931176,0.490300742
Primary Energy Production,total,Congo (Kinshasa),Quad Btu,0.089777632,0.089169722,0.095675975,0.102733818,0.120443205,0.125828204,0.125820946,0.125657436,0.121078553,0.124483084,0.123873821,0.116074531,0.119018081,0.110433646,0.111332881,0.128137178,0.12683915,0.111634589,0.104922275,0.101220142,0.11652778,0.112289627,0.110115867,0.109589717,0.116474597,0.116552121,0.117318724,0.124267836,0.116481927,0.123401236,0.120990985,0.118734673,0.114893783,0.120963555,0.126352642,0.125650121,0.126880183
Primary Energy Production,total,Cook Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-06,1.03E-06,1.03E-06,1.03E-06,1.03E-06,1.02E-06,1.02E-06,1.02E-06,1.02E-06,1.03E-06,1.02E-06,1.01E-06,1.30E-06,1.30E-06,1.29E-06,1.28E-06,1.28E-06,1.27E-06,1.27E-06,1.26E-06,9.52E-07,7.63E-06,1.90E-05,2.80E-05,3.69E-05
Primary Energy Production,total,Costa Rica,Quad Btu,0.021794031,0.023634239,0.024692359,0.029508651,0.03110076,0.028718803,0.029938236,0.030986106,0.03117848,0.034289984,0.034825896,0.037872244,0.04157484,0.045235892,0.0451325,0.041278936,0.04457574,0.055109348,0.049995891,0.061284418,0.069295393,0.070099072,0.075343988,0.073572745,0.080831691,0.081743138,0.082916236,0.08532432,0.089096035,0.08577088,0.08653572,0.086414104,0.089881717,0.087302533,0.088335693,0.100915874,0.100006487
Primary Energy Production,total,Cote dIvoire (IvoryCoast),Quad Btu,0.016292128,0.033180663,0.037858882,0.060285859,0.06245996,0.074636768,0.055455834,0.051195504,0.038484364,0.01765254,0.018228758,0.017574052,0.014212098,0.012359018,0.026269828,0.037713975,0.065950708,0.082182246,0.086183599,0.099438863,0.092288904,0.09161435,0.09083026,0.106924724,0.120589995,0.145184816,0.195841376,0.183699258,0.203280028,0.202398941,0.169099131,0.160436154,0.162077952,0.167691928,0.168455414,0.149229496,0.202537184
Primary Energy Production,total,Croatia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.200721739,0.211585655,0.21274725,0.209368498,0.214526391,0.18672343,0.19246038,0.189339204,0.182349615,0.189566393,0.164365495,0.170419652,0.178962681,0.165518569,0.15845166,0.154956159,0.161970574,0.178385662,0.19766529,0.150779388,0.144483219,0.175301845,0.177234636,0.148417481,0.149900658
Primary Energy Production,total,Cuba,Quad Btu,0.024189823,0.03017347,0.036395107,0.041000539,0.047744708,0.054095941,0.057871748,0.058951016,0.053152684,0.053012382,0.055550655,0.05363691,0.059530219,0.062837246,0.07222181,0.073926131,0.086869633,0.113664263,0.101274055,0.121882491,0.131389407,0.139215576,0.135539379,0.151707759,0.158541314,0.142434425,0.140202491,0.144739547,0.170167117,0.166037758,0.17364573,0.17713921,0.171601827,0.168496568,0.172275414,0.170324741,0.16743131
Primary Energy Production,total,Cyprus,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,9.92E-06,2.97E-05,0.000402791,0.000595965,0.000917596,0.001983733,0.002700593,0.00321723,0.003016291,0.003738764,0.00392475
Primary Energy Production,total,Czech Republic,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,1.572197576,1.445332593,1.399140553,1.445178732,1.393784141,1.28598695,1.155997256,1.258585735,1.288207487,1.293574103,1.369070074,1.384766368,1.335774377,1.366502322,1.362067235,1.328943921,1.285572104,1.289729769,1.350063565,1.342972257,1.245718122,1.143304918,1.104119078,1.035123881
Primary Energy Production,total,Denmark,Quad Btu,0.013253808,0.031487193,0.072523675,0.095426651,0.108099424,0.169045069,0.23937155,0.304965198,0.311821052,0.368022042,0.382111944,0.461687222,0.513186464,0.555924963,0.595891282,0.614027572,0.708849491,0.816942591,0.839707793,0.981869639,1.145260724,1.12006245,1.180648603,1.184724665,1.287198951,1.304151898,1.22187039,1.122562236,1.105348119,0.978799292,0.964038768,0.867237188,0.799596904,0.71594169,0.708181748,0.693770438,0.653692767
Primary Energy Production,total,Djibouti,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76E-06,4.77E-06,4.76E-06,4.66E-06,4.62E-06
Primary Energy Production,total,Dominica,Quad Btu,9.35E-05,0.00010453,9.41E-05,0.0001578,0.00016704,0.000146258,0.000135798,0.000145866,0.000165184,0.000166912,0.000166432,0.000166976,0.000165472,0.000164944,0.000175372,0.000195928,0.00019646,0.00020426,0.000275319,0.000327232,0.000326432,0.000278991,0.00030519,0.000293625,0.000340544,0.000271973,0.000269797,0.000210529,0.000200036,0.000233264,0.000233168,0.000348804,0.000260738,0.000356833,0.000298614,0.000227384,0.000336045
Primary Energy Production,total,Dominican Republic,Quad Btu,0.00671065,0.009230001,0.008687278,0.009078776,0.00667116,0.011220078,0.00981924,0.01031481,0.00898188,0.006499136,0.004337634,0.006032008,0.00573981,0.011886277,0.005911068,0.006589368,0.00924396,0.007210378,0.007729326,0.01150425,0.008079192,0.007584422,0.00925743,0.01253475,0.01672672,0.019128087,0.017645901,0.017188276,0.013923702,0.0145668,0.014287662,0.015477588,0.019612476,0.02442496,0.01950501,0.017389254,0.024437104
Primary Energy Production,total,Ecuador,Quad Btu,0.462995187,0.475328461,0.475707824,0.542628311,0.607113776,0.661779527,0.69193014,0.433201534,0.716715228,0.666404264,0.682325074,0.71357625,0.76294836,0.821045888,0.873118846,0.918056138,0.943441916,0.923507559,0.895325469,0.89757541,0.954373711,0.984829864,0.940964999,0.979897602,1.241939772,1.246309409,1.263412423,1.22916124,1.231172258,1.165625506,1.16228622,1.212328298,1.242490148,1.27980162,1.351834982,1.333460448,1.376259368
Primary Energy Production,total,Egypt,Quad Btu,1.452314484,1.480864683,1.691765958,1.84183121,2.07949161,2.233146635,2.093712425,2.299588194,2.238242428,2.319010383,2.361872149,2.395984104,2.387184033,2.481355166,2.522937188,2.59853571,2.649583702,2.514081487,2.477695267,2.593512825,2.547586279,2.691263889,2.669287827,2.851681976,2.857816,3.170938197,3.578511469,3.636875712,3.815820047,3.958521727,3.897851771,3.904618055,3.895282273,3.753664635,3.459768073,3.325760345,3.183275076
Primary Energy Production,total,El Salvador,Quad Btu,0.016028689,0.016108077,0.017374556,0.015548587,0.01787328,0.016662965,0.016838952,0.016284897,0.017839872,0.019476544,0.019410132,0.013337208,0.014406406,0.015989259,0.016515916,0.01964436,0.02392676,0.019629386,0.020638728,0.02423562,0.020085769,0.022081621,0.022190888,0.026014948,0.025020759,0.029987939,0.039680431,0.038344051,0.042714671,0.03177856,0.037921572,0.037144268,0.035704032,0.036122226,0.0352821,0.032234421,0.0320812
Primary Energy Production,total,Equatorial Guinea,Quad Btu,2.08E-05,2.09E-05,2.09E-05,2.10E-05,2.09E-05,2.09E-05,2.09E-05,2.08E-05,2.06E-05,2.09E-05,2.08E-05,0.000419744,0.003420121,0.00897462,0.010007944,0.009975078,0.034014696,0.104548176,0.166573343,0.20535911,0.33617993,0.362962644,0.470882442,0.459834532,0.738625493,0.790516486,0.761429991,0.831055029,0.926766829,0.909506722,0.88026934,0.841172405,0.845432287,0.812842504,0.773050098,0.755096052,0.694722241
Primary Energy Production,total,Eritrea,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.03E-05,1.02E-05,1.01E-05,1.00E-05,1.00E-05,1.98E-05,1.98E-05,1.97E-05,1.95E-05,3.90E-05,3.89E-05,3.81E-05,3.82E-05,3.80E-05,3.73E-05,0.000203104
