GWP,category,categoryCode,categorySet,country,countryName,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Economy,ECO,misc,BRB,Barbados,HISTORY,WDI2017P,2005GKD,GDPPPP,3006000000.0,2889000000.0,2724000000.0,2746000000.0,2801000000.0,2858000000.0,2971000000.0,3112000000.0,3228000000.0,3239000000.0,3383000000.0,3303000000.0,3329000000.0,3401000000.0,3449000000.0,3586000000.0,3789000000.0,3856000000.0,3871000000.0,3715000000.0,3725000000.0,3753000000.0,3764000000.0,3761000000.0,3769000000.0,3802000000.0
,Economy,ECO,misc,BRN,Brunei darussalam,HISTORY,WDI2017P,2005GKD,GDPPPP,19020000000.0,19620000000.0,20560000000.0,20620000000.0,21270000000.0,22220000000.0,22860000000.0,22520000000.0,22400000000.0,23080000000.0,23740000000.0,24390000000.0,25330000000.0,26070000000.0,26200000000.0,26300000000.0,27460000000.0,27500000000.0,26970000000.0,26490000000.0,27180000000.0,28200000000.0,28460000000.0,27850000000.0,27200000000.0,27040000000.0
,Economy,ECO,misc,BTN,Bhutan,HISTORY,WDI2017P,2005GKD,GDPPPP,1085000000.0,1080000000.0,1130000000.0,1152000000.0,1209000000.0,1295000000.0,1367000000.0,1441000000.0,1526000000.0,1648000000.0,1762000000.0,1906000000.0,2111000000.0,2273000000.0,2407000000.0,2578000000.0,2755000000.0,3248000000.0,3403000000.0,3630000000.0,4056000000.0,4376000000.0,4597000000.0,4696000000.0,4966000000.0,5288000000.0
,Economy,ECO,misc,BWA,Botswana,HISTORY,WDI2017P,2005GKD,GDPPPP,9703000000.0,10430000000.0,10730000000.0,10940000000.0,11330000000.0,12130000000.0,12840000000.0,13870000000.0,13970000000.0,15320000000.0,15620000000.0,15660000000.0,16610000000.0,17380000000.0,17850000000.0,18660000000.0,20220000000.0,21900000000.0,23270000000.0,21490000000.0,23330000000.0,24740000000.0,25840000000.0,28390000000.0,29300000000.0,29220000000.0
,Economy,ECO,misc,CAF,Central african republic,HISTORY,WDI2017P,2005GKD,GDPPPP,2379000000.0,2366000000.0,2214000000.0,2222000000.0,2331000000.0,2498000000.0,2398000000.0,2526000000.0,2644000000.0,2739000000.0,2671000000.0,2790000000.0,2891000000.0,2735000000.0,2899000000.0,2926000000.0,3065000000.0,3206000000.0,3272000000.0,3328000000.0,3430000000.0,3543000000.0,3689000000.0,2335000000.0,2359000000.0,2472000000.0
,Economy,ECO,misc,CAN,Canada,HISTORY,WDI2017P,2005GKD,GDPPPP,755200000000.0,739100000000.0,745700000000.0,765500000000.0,799900000000.0,821300000000.0,834500000000.0,870200000000.0,904000000000.0,950700000000.0,1000000000000.0,1018000000000.0,1048000000000.0,1067000000000.0,1100000000000.0,1135000000000.0,1165000000000.0,1189000000000.0,1201000000000.0,1166000000000.0,1202000000000.0,1239000000000.0,1261000000000.0,1292000000000.0,1325000000000.0,1338000000000.0
,Economy,ECO,misc,CHE,Switzerland,HISTORY,WDI2017P,2005GKD,GDPPPP,278500000000.0,276000000000.0,275800000000.0,275500000000.0,279000000000.0,280300000000.0,282000000000.0,288500000000.0,297000000000.0,301900000000.0,313800000000.0,318400000000.0,318800000000.0,319000000000.0,328000000000.0,338000000000.0,351600000000.0,366100000000.0,374500000000.0,366500000000.0,377300000000.0,384100000000.0,388200000000.0,395100000000.0,403000000000.0,406400000000.0
,Economy,ECO,misc,CHL,Chile,HISTORY,WDI2017P,2005GKD,GDPPPP,105500000000.0,113900000000.0,127900000000.0,136800000000.0,144600000000.0,160000000000.0,171800000000.0,183200000000.0,189100000000.0,187700000000.0,196100000000.0,202700000000.0,207000000000.0,215200000000.0,228200000000.0,240900000000.0,251500000000.0,264500000000.0,273200000000.0,270400000000.0,286000000000.0,302700000000.0,319200000000.0,331900000000.0,338100000000.0,345900000000.0
,Economy,ECO,misc,CHN,China,HISTORY,WDI2017P,2005GKD,GDPPPP,1504000000000.0,1644000000000.0,1878000000000.0,2138000000000.0,2417000000000.0,2682000000000.0,2948000000000.0,3221000000000.0,3473000000000.0,3739000000000.0,4057000000000.0,4395000000000.0,4796000000000.0,5278000000000.0,5812000000000.0,6474000000000.0,7297000000000.0,8336000000000.0,9140000000000.0,10000000000000.0,11060000000000.0,12120000000000.0,13070000000000.0,14080000000000.0,15110000000000.0,16160000000000.0
,Economy,ECO,misc,CIV,Cote d'ivoire,HISTORY,WDI2017P,2005GKD,GDPPPP,34020000000.0,34030000000.0,33950000000.0,33880000000.0,34160000000.0,36590000000.0,39420000000.0,40890000000.0,42910000000.0,43600000000.0,42700000000.0,42750000000.0,42040000000.0,41470000000.0,41980000000.0,42700000000.0,43350000000.0,44120000000.0,45240000000.0,46710000000.0,47650000000.0,45560000000.0,50440000000.0,54920000000.0,59580000000.0,65040000000.0
,Economy,ECO,misc,CMR,Cameroon,HISTORY,WDI2017P,2005GKD,GDPPPP,29010000000.0,27910000000.0,27040000000.0,24900000000.0,25410000000.0,26460000000.0,27760000000.0,29230000000.0,30660000000.0,31910000000.0,33240000000.0,34740000000.0,36140000000.0,37590000000.0,38980000000.0,39880000000.0,41160000000.0,42500000000.0,43730000000.0,44580000000.0,46030000000.0,47940000000.0,50140000000.0,52930000000.0,56060000000.0,59300000000.0
,Economy,ECO,misc,COD,Congo- democratic republic of the,HISTORY,WDI2017P,2005GKD,GDPPPP,38480000000.0,35240000000.0,31540000000.0,27290000000.0,26230000000.0,26410000000.0,26140000000.0,24670000000.0,24270000000.0,23240000000.0,21630000000.0,21180000000.0,21800000000.0,23020000000.0,24570000000.0,26070000000.0,27460000000.0,29180000000.0,31000000000.0,31880000000.0,34140000000.0,36480000000.0,39090000000.0,42420000000.0,46220000000.0,49420000000.0
,Economy,ECO,misc,COG,Congo- republic of the,HISTORY,WDI2017P,2005GKD,GDPPPP,10890000000.0,11150000000.0,11440000000.0,11330000000.0,10710000000.0,11140000000.0,11610000000.0,11540000000.0,11970000000.0,11660000000.0,12550000000.0,13020000000.0,13620000000.0,13730000000.0,14210000000.0,15310000000.0,16270000000.0,16010000000.0,16900000000.0,18160000000.0,19750000000.0,20430000000.0,21200000000.0,21930000000.0,23420000000.0,24040000000.0
,Economy,ECO,misc,COL,Colombia,HISTORY,WDI2017P,2005GKD,GDPPPP,224200000000.0,229300000000.0,240800000000.0,246500000000.0,260900000000.0,274500000000.0,280100000000.0,289700000000.0,291400000000.0,279100000000.0,291400000000.0,296300000000.0,303800000000.0,315700000000.0,332500000000.0,348100000000.0,371500000000.0,397100000000.0,411200000000.0,418000000000.0,434600000000.0,463200000000.0,481900000000.0,505400000000.0,527600000000.0,543800000000.0
,Economy,ECO,misc,COM,Comoros,HISTORY,WDI2017P,2005GKD,GDPPPP,571700000.0,540900000.0,587000000.0,604700000.0,572800000.0,593400000.0,585800000.0,609400000.0,617200000.0,629100000.0,697300000.0,713600000.0,730200000.0,745500000.0,759900000.0,781400000.0,802100000.0,808500000.0,811800000.0,827600000.0,845800000.0,867800000.0,893800000.0,925100000.0,944200000.0,953800000.0
,Economy,ECO,misc,CPV,Cape verde,HISTORY,WDI2017P,2005GKD,GDPPPP,491800000.0,498700000.0,553300000.0,601400000.0,716800000.0,818700000.0,911600000.0,1013000000.0,1140000000.0,1268000000.0,1449000000.0,1481000000.0,1559000000.0,1624000000.0,1789000000.0,1913000000.0,2066000000.0,2379000000.0,2538000000.0,2505000000.0,2542000000.0,2643000000.0,2672000000.0,2693000000.0,2743000000.0,2783000000.0
,Economy,ECO,misc,CRI,Costa rica,HISTORY,WDI2017P,2005GKD,GDPPPP,20930000000.0,21470000000.0,23440000000.0,25110000000.0,26230000000.0,27310000000.0,27650000000.0,29190000000.0,31220000000.0,32450000000.0,33670000000.0,34840000000.0,35990000000.0,37520000000.0,39150000000.0,40660000000.0,43600000000.0,47170000000.0,49360000000.0,48880000000.0,51300000000.0,53510000000.0,56080000000.0,57230000000.0,58930000000.0,61140000000.0
,Economy,ECO,misc,CUB,Cuba,HISTORY,WDI2017P,2005GKD,GDPPPP,125800000000.0,112400000000.0,99350000000.0,84570000000.0,85170000000.0,87270000000.0,94110000000.0,96730000000.0,96880000000.0,102900000000.0,109000000000.0,112400000000.0,114000000000.0,118400000000.0,125200000000.0,139200000000.0,156000000000.0,167300000000.0,174200000000.0,176800000000.0,181000000000.0,186100000000.0,191700000000.0,196900000000.0,199000000000.0,207800000000.0
,Economy,ECO,misc,CYP,Cyprus,HISTORY,WDI2017P,2005GKD,GDPPPP,11730000000.0,11820000000.0,12930000000.0,13020000000.0,13790000000.0,14950000000.0,15150000000.0,15540000000.0,16360000000.0,17150000000.0,18130000000.0,18780000000.0,19420000000.0,19900000000.0,20810000000.0,21580000000.0,22560000000.0,23650000000.0,24560000000.0,24120000000.0,24440000000.0,24520000000.0,23750000000.0,22330000000.0,21990000000.0,22360000000.0
,Economy,ECO,misc,CZE,Czech republic,HISTORY,WDI2017P,2005GKD,GDPPPP,179100000000.0,158300000000.0,157500000000.0,157600000000.0,162200000000.0,172300000000.0,179700000000.0,178500000000.0,177900000000.0,180400000000.0,188200000000.0,193900000000.0,197100000000.0,204200000000.0,214300000000.0,228100000000.0,243800000000.0,257300000000.0,264300000000.0,251500000000.0,257300000000.0,262400000000.0,260300000000.0,259100000000.0,266100000000.0,278200000000.0
,Economy,ECO,misc,DEU,Germany,HISTORY,WDI2017P,2005GKD,GDPPPP,2158000000000.0,2268000000000.0,2312000000000.0,2289000000000.0,2346000000000.0,2386000000000.0,2406000000000.0,2450000000000.0,2499000000000.0,2549000000000.0,2624000000000.0,2669000000000.0,2669000000000.0,2650000000000.0,2681000000000.0,2700000000000.0,2799000000000.0,2891000000000.0,2922000000000.0,2758000000000.0,2870000000000.0,2975000000000.0,2990000000000.0,3005000000000.0,3053000000000.0,3105000000000.0
,Economy,ECO,misc,DJI,Djibouti,HISTORY,WDI2017P,2005GKD,GDPPPP,1590000000.0,1522000000.0,1522000000.0,1421000000.0,1408000000.0,1358000000.0,1303000000.0,1293000000.0,1294000000.0,1322000000.0,1328000000.0,1355000000.0,1390000000.0,1435000000.0,1490000000.0,1537000000.0,1611000000.0,1693000000.0,1791000000.0,1881000000.0,1947000000.0,2034000000.0,2132000000.0,2239000000.0,2373000000.0,2528000000.0
,Economy,ECO,misc,DMA,Dominica,HISTORY,WDI2017P,2005GKD,GDPPPP,414400000.0,416900000.0,425400000.0,432600000.0,438800000.0,447500000.0,459300000.0,466100000.0,489300000.0,492700000.0,494500000.0,496900000.0,488100000.0,525700000.0,542800000.0,542300000.0,558200000.0,593400000.0,635700000.0,628300000.0,632500000.0,631000000.0,624300000.0,629100000.0,655400000.0,643900000.0
,Economy,ECO,misc,DNK,Denmark,HISTORY,WDI2017P,2005GKD,GDPPPP,150800000000.0,152900000000.0,155900000000.0,155900000000.0,164200000000.0,169200000000.0,174100000000.0,179800000000.0,183800000000.0,189200000000.0,196300000000.0,197900000000.0,198800000000.0,199600000000.0,204900000000.0,209700000000.0,217900000000.0,219900000000.0,218800000000.0,208000000000.0,211900000000.0,214800000000.0,215200000000.0,217200000000.0,220900000000.0,224400000000.0
,Economy,ECO,misc,DOM,Dominican republic,HISTORY,WDI2017P,2005GKD,GDPPPP,32850000000.0,33160000000.0,36650000000.0,39290000000.0,40200000000.0,42410000000.0,45430000000.0,49070000000.0,52510000000.0,56030000000.0,59200000000.0,60270000000.0,63760000000.0,63600000000.0,64440000000.0,70400000000.0,77920000000.0,84700000000.0,87420000000.0,88250000000.0,95590000000.0,98550000000.0,101300000000.0,106100000000.0,114200000000.0,122200000000.0
,Economy,ECO,misc,DZA,Algeria,HISTORY,WDI2017P,2005GKD,GDPPPP,230300000000.0,227500000000.0,231600000000.0,226800000000.0,224700000000.0,233300000000.0,242800000000.0,245500000000.0,258000000000.0,266300000000.0,276400000000.0,284800000000.0,300700000000.0,322400000000.0,336300000000.0,356100000000.0,362100000000.0,374300000000.0,383200000000.0,389400000000.0,403600000000.0,415200000000.0,429300000000.0,441100000000.0,457900000000.0,475100000000.0
,Economy,ECO,misc,ECU,Ecuador,HISTORY,WDI2017P,2005GKD,GDPPPP,66290000000.0,69130000000.0,70590000000.0,71990000000.0,75050000000.0,76740000000.0,78070000000.0,81450000000.0,84110000000.0,80120000000.0,81000000000.0,84250000000.0,87700000000.0,90090000000.0,97490000000.0,102600000000.0,107200000000.0,109500000000.0,116500000000.0,117100000000.0,121300000000.0,130800000000.0,138200000000.0,145000000000.0,150800000000.0,151000000000.0
,Economy,ECO,misc,EGY,Egypt,HISTORY,WDI2017P,2005GKD,GDPPPP,294500000000.0,297700000000.0,310900000000.0,319900000000.0,332600000000.0,348000000000.0,365400000000.0,385400000000.0,401000000000.0,425500000000.0,448300000000.0,464200000000.0,475200000000.0,490400000000.0,510400000000.0,533200000000.0,569700000000.0,610100000000.0,653700000000.0,684400000000.0,719600000000.0,732600000000.0,748700000000.0,764500000000.0,781500000000.0,814300000000.0
,Economy,ECO,misc,ERI,Eritrea,HISTORY,WDI2017P,2005GKD,GDPPPP,,,3008000000.0,3413000000.0,4137000000.0,4255000000.0,4649000000.0,5017000000.0,5106000000.0,5107000000.0,4946000000.0,5379000000.0,5541000000.0,5394000000.0,5472000000.0,5613000000.0,5558000000.0,5638000000.0,5086000000.0,5283000000.0,5399000000.0,5868000000.0,,,,
,Economy,ECO,misc,ESP,Spain,HISTORY,WDI2017P,2005GKD,GDPPPP,801700000000.0,822100000000.0,829800000000.0,821200000000.0,840800000000.0,864000000000.0,887100000000.0,919800000000.0,959400000000.0,1002000000000.0,1055000000000.0,1098000000000.0,1129000000000.0,1165000000000.0,1202000000000.0,1247000000000.0,1299000000000.0,1348000000000.0,1363000000000.0,1314000000000.0,1314000000000.0,1301000000000.0,1263000000000.0,1242000000000.0,1259000000000.0,1299000000000.0
,Economy,ECO,misc,EST,Estonia,HISTORY,WDI2017P,2005GKD,GDPPPP,,,,,,14170000000.0,14930000000.0,16690000000.0,17370000000.0,17230000000.0,19050000000.0,20250000000.0,21480000000.0,23070000000.0,24530000000.0,26830000000.0,29580000000.0,31870000000.0,30150000000.0,25710000000.0,26290000000.0,28290000000.0,29500000000.0,29920000000.0,30770000000.0,31210000000.0
,Economy,ECO,misc,ETH,Ethiopia,HISTORY,WDI2017P,2005GKD,GDPPPP,27220000000.0,25280000000.0,23080000000.0,26120000000.0,26950000000.0,28600000000.0,32160000000.0,33160000000.0,32020000000.0,33670000000.0,35710000000.0,38680000000.0,39260000000.0,38420000000.0,43630000000.0,48790000000.0,54070000000.0,60270000000.0,66770000000.0,72650000000.0,81760000000.0,90900000000.0,98770000000.0,109200000000.0,120400000000.0,132000000000.0
,Economy,ECO,misc,FIN,Finland,HISTORY,WDI2017P,2005GKD,GDPPPP,125100000000.0,117700000000.0,113800000000.0,113000000000.0,117400000000.0,122400000000.0,126900000000.0,134800000000.0,142100000000.0,148400000000.0,156800000000.0,160800000000.0,163500000000.0,166800000000.0,173300000000.0,178200000000.0,185400000000.0,195000000000.0,196400000000.0,180200000000.0,185600000000.0,190300000000.0,187600000000.0,186200000000.0,185000000000.0,185500000000.0
,Economy,ECO,misc,FJI,Fiji- the republic of,HISTORY,WDI2017P,2005GKD,GDPPPP,3727000000.0,3626000000.0,3847000000.0,3929000000.0,4130000000.0,4233000000.0,4436000000.0,4339000000.0,4395000000.0,4782000000.0,4700000000.0,4794000000.0,4948000000.0,4997000000.0,5262000000.0,5299000000.0,5397000000.0,5351000000.0,5407000000.0,5332000000.0,5489000000.0,5638000000.0,5744000000.0,6093000000.0,6425000000.0,6782000000.0
,Economy,ECO,misc,FRA,France,HISTORY,WDI2017P,2005GKD,GDPPPP,1500000000000.0,1516000000000.0,1540000000000.0,1530000000000.0,1566000000000.0,1599000000000.0,1621000000000.0,1659000000000.0,1718000000000.0,1777000000000.0,1845000000000.0,1882000000000.0,1903000000000.0,1918000000000.0,1972000000000.0,2003000000000.0,2051000000000.0,2099000000000.0,2103000000000.0,2042000000000.0,2082000000000.0,2125000000000.0,2129000000000.0,2141000000000.0,2155000000000.0,2182000000000.0
,Economy,ECO,misc,FSM,Micronesia- federated states of,HISTORY,WDI2017P,2005GKD,GDPPPP,231100000.0,248200000.0,258200000.0,279200000.0,277700000.0,297400000.0,288100000.0,270700000.0,278700000.0,282500000.0,295400000.0,300600000.0,302400000.0,307900000.0,298000000.0,304400000.0,303900000.0,297600000.0,290000000.0,292800000.0,300200000.0,306400000.0,308100000.0,297100000.0,287000000.0,297800000.0
