country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CPV,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.2886952553943893,0.29148353689552886,0.30632988944275813,0.3089313684575653,0.3085801095063773,0.3212318857339635,0.3686307749020119,0.369939364243278,0.3881885254347352,0.44101950572973475,0.5079537279436608,0.5386328191906534,0.6193237868995324,0.680217408784584,0.7163262513257381,0.9376968900071013,0.9941867115922586,1.0504935880831678,0.9659910152667254,1.066477786072605,1.1206567088123824,1.2242479830416069,0.9961496481373752,0.9690332355327568,0.9649777656205776,1.2966469198537096
CRI,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.9173141429491973,1.0202638893656066,1.1297124820335807,1.1553413285347756,1.5033467710154742,1.364312434953058,1.3123023900585309,1.3386826331045625,1.3802721418877293,1.384874931243428,1.3450711168140768,1.3635915550398094,1.4545171741315475,1.4929818944437565,1.5165852328065808,1.4430860288791414,1.508542761617288,1.6523746935840486,1.6412658019807167,1.579675700822345,1.531258800337933,1.5454929209468415,1.5255294124219347,1.4575893554331645,1.47343972507002,1.7450620360194116
CUB,Gg / ThousandPers,CO2-total-excl-LU-per-population,3.3736275501954673,2.991489259944006,3.121109385753561,2.899722858756167,3.1334716054480016,2.5398762869356006,2.636617859737769,2.4151117720083644,2.3860962173415508,2.4392430461771215,2.502076992944681,2.359978624314824,2.3355325968145118,2.27659064543568,2.2277564069963622,2.3129577119548808,2.434439870353241,2.3797544995716886,2.6791033651129816,2.623998970897643,3.3177297093254055,3.1088582114941263,3.118919753796867,2.9968015715157343,2.9895713785079714,3.0711694664331652
CYP,Gg / ThousandPers,CO2-total-excl-LU-per-population,6.248255314930331,6.742184237845873,7.019656286651787,7.157243166725903,7.298921288719523,6.991012223749802,7.24734750516073,7.192613937288486,7.373138007536007,7.526591436747476,7.664695543027247,7.372834229944954,7.451641101123274,7.709626868150283,7.828505260240893,7.852807062271689,7.890893335208018,8.047290996059084,8.053160102555283,7.749918949143775,7.325138166486459,6.996581720874617,6.466607110448593,5.795981452859351,6.092115916824394,6.072429876354992
CZE,Gg / ThousandPers,CO2-total-excl-LU-per-population,15.955642925862637,14.400657211201585,14.005172061748706,13.418319887340173,12.739785442710438,12.839751406966444,13.042759963944015,12.67096983119463,12.205177164927202,11.351899672492843,12.439752239009623,12.462024899904627,12.094683031032908,12.500882630677928,12.500566431916447,12.282885378453246,12.332146857807821,12.455842108586749,11.89586056669961,11.061477498713865,11.199392271622088,10.97579033969598,10.484799166505695,10.09959808319067,9.907038016418507,9.90214604967558
DEU,Gg / ThousandPers,CO2-total-excl-LU-per-population,13.397654545926565,12.945479397118719,12.205457908491471,12.009425523727693,11.750744686454732,11.693659983128633,11.924888626636859,11.570571171245852,11.472500747000904,11.131345805971534,11.179593518569913,11.369232340601892,11.13808594602932,11.140152359334307,10.964850690367681,10.713686534967747,10.890313413286302,10.58461795374699,10.624799336736425,9.8436852425694,10.42094369865746,10.131714763069851,10.16452868634766,10.336535571544397,9.829467934950275,9.852181901532056
DJI,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.5487823468236681,0.515783298508348,0.5088984056684454,0.5060671468645664,0.4900653313323671,0.4838290068973394,0.4862649569197212,0.49625313751507294,0.46575728902811003,0.45279310497515357,0.4765992552788245,0.502244404683429,0.5373743167238659,0.5589132827587115,0.5319480195964461,0.5323943446187317,0.5187086791391193,0.5744982097894495,0.6087973033074342,0.555661775249749,0.6097661270804303,0.5485387505095636,0.6502607284508929,0.664668201202648,0.7520577440021751,0.7709609732007496
DMA,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.9968135803513521,0.9979955393693007,0.996195575595322,1.0532228619575903,1.1110644081095091,1.3143145387288422,1.1708482676224612,1.2677907650558988,1.2035851472471188,1.2545956539776546,1.5643837189276077,1.7511123869671308,1.6756416131989,1.6406773857589203,1.6340101450716835,1.7415436023050677,1.6947476944369906,2.255109231853418,1.9275684497847314,1.9233739066953066,2.0296752519596866,1.8684291251847513,1.9710177113985898,1.9060773480662982,1.951139080491357,2.009239769279134
DNK,Gg / ThousandPers,CO2-total-excl-LU-per-population,10.698068415120067,12.706337339095093,11.543704620382277,11.905812309685205,12.626325620273043,12.001443230880247,14.481832056420153,12.63805464149136,11.791609618859331,11.255645204024072,10.42837987161672,10.712828630949026,10.608991473907187,11.52782047340916,10.476125077529804,9.775528053736632,11.186004893555703,10.274303801656943,9.585661160519809,9.083593853338321,9.163173619277156,8.203661448146859,7.360987833873377,7.662540305937565,6.885697770128571,6.451391751535282
DOM,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.2417091207293454,1.433325388615465,1.6201268492375565,1.799916310460601,1.960518257842202,2.255327673136627,2.2044776303434763,2.0701975825972085,1.952660047309819,1.9693652190171398,2.113838494797505,2.012158959178009,2.0492998131287656,1.973737031321088,1.59288181761657,1.5372014662736917,1.5366002165325805,1.5466597252858767,1.4424294247300893,1.3309093038545796,1.293192503322646,1.2865141898027297,1.3195535182349494,1.244979232190183,1.2492979906291117,1.263250596434746
DZA,Gg / ThousandPers,CO2-total-excl-LU-per-population,3.0294415018126286,3.0578818240897747,3.027839865459426,3.0338736855508333,3.102715429553499,3.3455232159590937,3.335439658377538,2.97789940247612,3.593122460338191,3.052108859329408,2.882920093407894,2.731690999344046,2.8785706387170062,2.8916616882971398,2.75957890653422,3.274410270449165,3.049329717361181,3.236144433032743,3.212785509419414,3.4681337718407836,3.3501637994755855,3.340615875942889,3.487210071424717,3.5212588307302704,3.732744398307554,3.8122441658117543
ECU,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.6539292907060623,1.5868478987170431,2.0923497807282816,2.218934506002172,1.2235989546356494,2.001646244776162,2.0713008513988003,1.551363594091837,1.8579590320033443,1.7421193898613974,1.6470556188510581,1.8050604714709026,1.9201258256158555,2.0391883849635515,2.154016311455066,2.198724987046088,2.0690919192295247,2.2456165248654862,2.332573481948027,2.4436272549523443,2.4305827573253946,2.5300851169390186,2.457900190574815,2.5795663736155823,2.7290256146092666,2.6015264270487393
EGY,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.4892301228928375,1.4501537724678093,1.4108310784466056,1.5373166229736368,1.347291723620544,1.4470829240981777,1.4830567465868443,1.5026201296041608,1.6325790105906293,1.632018715058042,1.7595059238702127,1.6285972695162814,1.6668935570541432,1.9329041132767237,1.989867620607435,2.201147099808306,2.3157907450459225,2.38881772796453,2.4581897438616935,2.4980288006228872,2.4492434132532557,2.584473847866297,2.4939286786731985,2.3606063876694927,2.1892428101835213,2.186009767816758
ERI,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.2861904898032995,0.2631665620502306,0.25813013735088575,0.2829902224780715,0.2822933368077129,0.30451507511425785,0.32730293715879866,0.2758315276701409,0.18578119441490246,0.19047544062965308,0.18215038253054042,0.18300752275298215,0.17014147194228801,0.1968827785082117,0.2024038108931606,0.19601880268792674,0.14065638334077601,0.14205462024225368,0.10041024080502081,0.12156830537958312,0.11956709877836587,0.13140575101291935,0.14163632046379537,0.14104499722425168,0.1432771918513204,0.14545151451131594
