category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC2,ISL,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0647,0.0523,0.0565,0.0692,0.0679,0.0732,0.0744,0.0733,0.0641,0.0743,0.11,0.115,0.121,0.121,0.12,0.11199999999999999,0.11,0.11599999999999999,0.0981,0.0996,0.10400000000000001,0.107,0.12,0.121,0.109,0.11900000000000001,0.131
IPC2,ISR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.503,0.513,0.524,0.513,0.524,0.524,0.535,0.165,0.17600000000000002,0.19,0.2,0.20199999999999999,0.204,0.205,0.161,0.17600000000000002,0.131,0.20199999999999999,0.214,0.223,0.2,0.239,0.22899999999999998,0.19,0.212,0.213,0.207
IPC2,ITA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,5.16,4.95,4.83,4.87,5.07,5.36,2.91,3.15,3.01,2.96,2.92,2.74,2.62,2.68,2.82,2.97,3.05,3.0,2.82,1.73,2.39,2.65,2.53,2.03,1.92,1.7,1.91
IPC2,JPN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,2.42,2.33,2.2,2.09,2.23,2.34,2.22,2.2,2.1,2.08,2.17,2.07,2.11,2.01,2.15,2.15,2.18,2.04,1.99,2.05,2.16,2.15,1.85,1.85,1.72,1.94,1.73
IPC2,KAZ,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.33,1.18,0.9890000000000001,0.7659999999999999,0.485,0.496,0.35100000000000003,0.423,0.408,0.49700000000000005,0.516,0.536,0.523,0.55,0.546,0.517,0.5,0.528,0.425,0.45899999999999996,0.409,0.452,0.39899999999999997,0.32299999999999995,0.391,0.38299999999999995,0.425
IPC2,KOR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,5.4,7.54,10.7,11.9,12.8,13.1,14.8,18.1,18.9,20.1,20.9,20.1,21.8,21.6,22.3,22.6,23.6,24.8,24.1,24.4,25.0,25.3,26.5,25.6,26.8,,
IPC2,KWT,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.11900000000000001,0.125,0.132,0.125,0.139,0.145,0.158,0.168,0.175,0.185,0.195,0.215,0.23800000000000002,0.261,0.287,0.317,0.345,0.374,0.402,0.431,0.45899999999999996,0.488,0.516,,,,
IPC2,LBY,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.36,1.36,1.37,1.36,1.37,1.37,1.38,1.38,1.39,1.39,1.4,1.4,1.4,1.4,1.52,1.64,1.77,1.89,2.01,2.06,2.06,3.06,3.4,,,,
IPC2,LIE,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,4.09e-05,4.210000000000001e-05,4.31e-05,4.1899999999999995e-05,1.92e-05,2.0300000000000002e-05,2.05e-05,2.08e-05,2.24e-05,2.42e-05,2.44e-05,2.61e-05,2.78e-05,3.09e-05,3.4e-05,3.71e-05,4.01e-05,4.3e-05,4.5799999999999995e-05,4.6500000000000005e-05,4.71e-05,4.7799999999999996e-05,4.85e-05,,,,
IPC2,LTU,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.21,0.22899999999999998,0.131,0.0115,0.0736,0.0896,0.0418,0.054,0.025,0.0202,0.0185,0.0745,0.0679,0.0945,0.0978,0.0902,0.11,0.11199999999999999,0.127,0.129,0.129,0.129,0.129,,,,
IPC2,LUX,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.336,0.32,0.29100000000000004,0.319,0.262,0.138,0.0669,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,,,,,,
IPC2,LVA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.00275,0.00187,0.00123,0.0015,0.0016600000000000002,0.0014,0.00147,0.00232,0.00235,0.00242,0.0025,0.00251,0.0025399999999999997,0.00274,0.00278,0.00277,0.00277,0.00279,0.00265,0.0022,0.00268,0.0008380000000000001,0.00418,0.0009660000000000001,4.6299999999999995e-07,6.24e-05,
IPC2,MCO,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.00105,0.0010400000000000001,0.00108,0.0010400000000000001,0.00112,0.00115,0.00116,0.00119,0.0012,0.00123,0.00125,0.0012699999999999999,0.00122,0.00122,0.00109,0.00107,0.0011300000000000001,0.00114,0.0010400000000000001,0.0009429999999999999,0.00103,0.00107,0.00106,9.29e-06,8.8e-06,8.3e-06,8.22e-06
IPC2,MEX,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,4.17,3.68,3.74,3.24,3.48,3.73,3.84,3.78,3.8,3.65,3.71,3.14,3.04,3.17,3.4,3.31,3.35,3.33,3.33,3.21,3.3,3.88,3.55,,,,
IPC2,MKD,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.242,0.198,0.157,0.11900000000000001,0.0885,0.0893,0.0803,0.0783,0.076,0.0732,0.069,0.0663,0.064,0.0617,0.0628,0.079,0.0742,0.113,0.11199999999999999,0.0372,0.0795,0.10800000000000001,0.0817,0.09,0.09,,
IPC2,MMR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.196,0.0978,0.0997,0.106,0.115,0.129,0.146,0.16699999999999998,0.191,0.21899999999999997,0.28800000000000003,0.28800000000000003,,,,
IPC2,MNE,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.00954,0.0256,0.0163,0.00561,0.00577,0.0061,0.0109,0.0255,0.0315,0.00942,0.00547,0.0133,0.00548,0.00496,0.00592,0.00532,0.0062,0.006670000000000001,0.00689,0.00629,0.00645,0.00705,0.00716,0.0020800000000000003,,,
IPC2,MYS,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.05,4.13,3.99,5.34,3.21,3.64,4.66,4.67,4.59,4.69,5.32,5.66,5.12,,,,,
