variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;Bosnia and Herzegovina;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.034758373;0.026456183;0.036040824;0.03643133;0.046588963;0.039311738;0.038413889;0.044242397;0.04667626;0.04853871;0.048653932;0.041683959;0.046826691;0.043729915;0.037789605;0.024382335;0.027822041;0.03886461;0.050272357;0.026432749;0.033815131;0.048106434;0.036980725;0.036606696;0.029717437;-
Nuclear, Renewables, and Other;Botswana;Quad Btu;(s);0.000466614;0.000448464;0.000516558;0.000478928;0.000680088;0.001171172;(s);(s);(s);(s);3.76E-05;(s);0.000664416;0.001507983;0.000968558;0.002968421;0.002113613;0.00178707;0.002627959;0.00304266;0.004553918;0.005092544;0.006276295;0.006389548;0.006853193;0.008069343;0.009141924;0.009805618;0.009386847;0.010324212;0.009982252;0.010652164;0.009533407;0.006040274;0.00416707;0.005263348;-
Nuclear, Renewables, and Other;Brazil;Quad Btu;1.368445527;1.380285812;1.487363452;1.629402718;1.793407257;1.917710399;1.967835671;2.042898714;2.159112716;2.277123605;2.291870565;2.436897092;2.479317009;2.588062475;2.697667917;2.846828396;3.005739384;3.11419744;3.22917879;3.253122753;3.396711646;3.157326415;3.313463127;3.530327347;3.613546046;3.750544366;3.891139484;4.144723277;4.14382494;4.28622772;4.536501512;4.797825978;4.636961562;4.484259365;4.389432854;4.305962325;4.587098704;-
Nuclear, Renewables, and Other;Brunei;Quad Btu;(s);0.000268;(s);0.000128;0.000416;0.000342;(s);0.000432942;0.000541743;(s);0.000126507;4.35E-05;0.000801777;8.73E-05;(s);(s);(s);(s);(s);0.000806006;9.58E-05;0.000286241;7.93E-05;0.000156947;0.00033761;0.000285057;(s);(s);0.000561704;8.41E-05;(s);0.000690493;(s);0.000429675;(s);0.000584857;(s);-
Nuclear, Renewables, and Other;Bulgaria;Quad Btu;0.127462108;0.154931747;0.165539302;0.184518543;0.189701527;0.193336662;0.176609505;0.176950942;0.213277325;0.206929942;0.183641655;0.171662;0.151638555;0.166358192;0.177373444;0.206712177;0.22808748;0.200339153;0.200528966;0.19222562;0.207616792;0.200019228;0.227317313;0.194259648;0.186308195;0.210793613;0.219866752;0.171151311;0.175929217;0.177116641;0.186327913;0.171334069;0.187840084;0.193453585;0.20573493;0.209200456;0.21239037;-
Nuclear, Renewables, and Other;Burkina Faso;Quad Btu;0;0;0;0;0;0;(s);0.000191413;(s);(s);(s);4.88E-05;0.000140175;3.23E-05;0.001072718;0.001299294;0.000954869;0.001292804;0.00053434;0.000996774;0.000532701;0.00114896;0.000919024;0.000722527;0.000864086;0.001908511;0.001658161;0.001015979;0.001319447;0.001666215;0.002015678;0.002913214;0.002628276;0.003116419;0.003013353;0.002477292;0.003517264;-
Nuclear, Renewables, and Other;Burma (Myanmar);Quad Btu;0.008255664;0.008412858;0.010097757;0.010681466;0.0111082;0.011379778;0.010770037;0.011023176;0.009686792;0.011858994;0.011488463;0.013085336;0.016407934;0.018614545;0.017774892;0.017792893;0.017052507;0.017969307;0.009652352;0.010232481;0.018194129;0.019040674;0.021885788;0.022881147;0.024317049;0.03033136;0.032421555;0.035500675;0.040403692;0.051566311;0.049240472;0.072589329;0.073784652;0.083680879;0.083720708;0.086638743;0.089823164;-
Nuclear, Renewables, and Other;Burundi;Quad Btu;0.000153844;0.000160798;0.000147152;0.000364792;0.00052658;0.000623866;0.000803313;0.001234516;0.000643764;0.001155467;0.00142833;0.001120982;0.000655277;0.001338126;0.001640686;0.001410786;0.001678272;0.001679789;0.000757843;0.000658772;0.000638039;0.000800881;0.001541802;0.001680759;0.00124343;0.0016806;0.00126485;0.001674036;0.001390202;0.001433741;0.002083942;0.001596462;0.001246032;0.001888502;0.002108063;0.002372078;0.003007693;-
Nuclear, Renewables, and Other;Cambodia;Quad Btu;0.000509012;0.000554009;0.00057497;0.000420801;0.0003132;0.000365645;0.000303283;0.000354298;0.000855393;0.000885201;0.000966797;0.000394124;0.000437562;0.000437541;0.000458656;0.001182374;0.001280695;0.000420482;5.00E-05;(s);0.000577569;0.000391945;0.000324608;0.000137123;0.000250614;0.001123377;0.000516582;0.001249259;0.002257376;0.00288677;0.005684692;0.00678916;0.012497838;0.017429575;0.023436336;0.023803683;0.030294628;-
Nuclear, Renewables, and Other;Cameroon;Quad Btu;0.014023804;0.018710875;0.021200721;0.021071596;0.02198664;0.023975865;0.02382859;0.024281415;0.02536028;0.027023176;0.026714532;0.027423858;0.026769138;0.026690294;0.027398381;0.028187344;0.028868773;0.031691325;0.031696985;0.034106556;0.03513377;0.035873679;0.031685071;0.035360269;0.03898221;0.036877326;0.04568876;0.039346746;0.042903174;0.04047714;0.041503088;0.042341573;0.040504395;0.043073368;0.04560434;0.041028813;0.042080547;-
Nuclear, Renewables, and Other;Canada;Quad Btu;2.951884494;3.101567854;3.016801169;3.218826099;3.427890406;3.687593207;3.906683648;3.988175347;3.972227468;3.888304263;3.893394194;4.099357529;4.084516851;4.290842395;4.447930736;4.426176747;4.572961926;4.38566662;4.102587595;4.280218267;4.374808668;4.262482621;4.369296413;4.268028471;4.413448847;4.58956549;4.564802826;4.6006728;4.693374991;4.554299897;4.468754981;4.706249445;4.656878361;4.915940262;4.932030061;4.817152471;4.860818188;-
Nuclear, Renewables, and Other;Cape Verde;Quad Btu;0;0;0;0;0;0;0.000656591;0.000697174;0.000962817;0.000173256;0.000173256;0.000173256;0.000389207;0.000406487;(s);(s);(s);(s);(s);(s);(s);0.000189606;(s);(s);0.000129895;(s);0.000158815;0.000321931;0.000474206;(s);(s);(s);0.000404814;0.001179301;0.001101551;0.000529505;0.000522356;-
Nuclear, Renewables, and Other;Cayman Islands;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);0.000143399;0.00010115;0.000159819;(s);(s);(s);(s);(s);(s);(s);0.000106775;0.000196546;0.000459981;(s);0.000142248;0.000352567;0.000457443;(s);0.000152626;0.000493058;(s);(s);0.000299163;0.000192369;0.000330495;(s);7.58E-05;-
Nuclear, Renewables, and Other;Central African Republic;Quad Btu;0.000685608;0.000679445;0.000710872;0.000673281;0.00072036;0.00062682;0.001284464;0.000967472;0.000979347;0.000978853;0.001231051;0.000435812;0.001266734;0.00065386;0.000881986;0.000891523;0.001128439;0.001127313;0.001105591;0.001107955;0.000474302;0.000652959;0.000639839;0.000384471;0.000764353;0.000954889;0.001234527;0.001293147;0.001377859;0.001355315;0.001517975;0.001864258;0.001093333;0.001105447;0.00118133;0.001157192;0.00134599;-
Nuclear, Renewables, and Other;Chad;Quad Btu;0;0;0;0;0;0;(s);0.000468522;0.000107094;0.000310553;(s);(s);(s);0.000278184;0.000490797;0.000490797;0.000497621;(s);(s);(s);(s);0.000380168;0.000336714;0.000298285;0.000474965;(s);(s);(s);(s);7.32E-05;0.000416996;(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Chile;Quad Btu;0.081184249;0.08358901;0.089451809;0.097148063;0.101295737;0.110855121;0.122559124;0.12892392;0.124237264;0.105872084;0.134003222;0.145762636;0.189101683;0.193148789;0.191503358;0.222547884;0.211986138;0.210609463;0.17330895;0.150972956;0.212954778;0.241361868;0.252609299;0.248818322;0.246083012;0.288708645;0.307076543;0.257901762;0.271803062;0.290878273;0.237719462;0.254971093;0.240620305;0.248508705;0.28422456;0.300067048;0.307495777;-
