variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;Kyrgyzstan;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.086966311;0.088611322;0.111085769;0.110323925;0.119193472;0.104981172;0.098513324;0.120156821;0.127693075;0.120536347;0.106437471;0.130332077;0.128583157;0.118249614;0.114018257;0.116705776;0.095243023;0.095752084;0.101651841;0.12676838;0.127529024;0.123767764;0.12607858;0.10380449;0.106156726;-
Nuclear, Renewables, and Other;Laos;Quad Btu;0.007077928;0.008890802;0.009378497;0.008418348;0.00747276;0.006936067;0.006588021;0.004565472;0.00411999;0.006035126;0.007122796;0.006975193;0.006850683;0.007047532;0.006850387;0.009219836;0.010455192;0.010883271;0.014333014;0.01735542;0.02317988;0.024422096;0.024455832;0.021730779;0.022289093;0.027668779;0.029731195;0.029024374;0.03103703;0.030288097;0.064506715;0.093270325;0.093807657;0.107647422;0.114884858;0.104477816;0.092053346;-
Nuclear, Renewables, and Other;Latvia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.039584412;0.038493161;0.04062687;0.037939385;0.029914889;0.036307928;0.03602359;0.034037392;0.03507875;0.035531371;0.033014769;0.032914331;0.039576068;0.04106879;0.036342469;0.038169773;0.040297284;0.03999164;0.038431717;0.033745565;0.045146992;0.037776781;0.03395785;0.031795757;0.036027561;-
Nuclear, Renewables, and Other;Lebanon;Quad Btu;0.009668219;0.009705823;0.007904015;0.006820982;0.006723748;0.007167949;0.00707729;0.007164315;0.007730798;0.005981758;0.0042488;0.00532439;0.006056578;0.007622806;0.008612456;0.00812134;0.010141224;0.011148768;0.011156294;0.007749098;0.008796448;0.00806051;0.009792296;0.015403335;0.011327739;0.01151574;0.009932913;0.009191234;0.005180334;0.010699119;0.011206373;0.010889047;0.010422595;0.013586534;0.0028902;0.005353723;0.003854836;-
Nuclear, Renewables, and Other;Lesotho;Quad Btu;0;0;0;0;0;0;0.000347506;0.000347506;(s);0.000347506;0.00100261;0.001050378;0.001176001;0.001281705;0.000648162;0.00069593;0.000740559;0.000675458;0.0011977;0.002666322;0.003468739;0.002615121;0.002894866;0.003063094;0.002979009;0.004629864;0.005253354;0.005671206;0.006302559;0.007051589;0.007030858;0.005571111;0.005241142;0.005465902;0.00582854;0.006000994;0.005946911;-
Nuclear, Renewables, and Other;Liberia;Quad Btu;0.003438429;0.003282243;0.003428914;0.003366406;0.00232812;0.002705773;0.002899167;0.003376608;0.003383805;0.003034545;0.000196495;(s);(s);0.000342852;0.000342852;0.000342852;(s);(s);(s);(s);0.000452131;(s);(s);0.000434339;6.45E-05;0.000439875;(s);2.49E-05;(s);0.00029852;0.000491141;(s);0.000190969;(s);(s);(s);0.000269998;-
Nuclear, Renewables, and Other;Libya;Quad Btu;0.00046;0.00017;0.000136;0.000264;(s);(s);0.000353565;(s);0.000662602;(s);3.50E-05;0.00037076;(s);(s);(s);0.00051648;(s);(s);(s);0.000166118;0.000602839;0.000451876;4.95E-05;(s);9.27E-05;0.000140673;(s);(s);0.000320084;(s);(s);(s);0.000456847;0.00017943;0.000467033;0.00015123;0.001716244;-
Nuclear, Renewables, and Other;Lithuania;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.132883622;0.124916725;0.08677734;0.111212805;0.122913224;0.108273175;0.121521366;0.095332206;0.08665817;0.105031334;0.125480385;0.135176828;0.133322439;0.097588293;0.088533783;0.098228559;0.100772272;0.103709363;0.028749591;0.033955534;0.034398867;0.039242843;0.040717818;0.041295534;0.049943872;-
Nuclear, Renewables, and Other;Luxembourg;Quad Btu;0.076223679;0.062022281;0.059650329;0.059254266;0.06675141;0.065689571;0.060539335;0.051511903;0.055213854;0.055900517;0.055569079;0.053274191;0.047865437;0.050098273;0.044527743;0.033230917;0.030345137;0.025809924;0.019611292;0.020043262;0.022844042;0.020430202;0.01317203;0.014080324;0.013792943;0.01313606;0.015009725;0.016041036;0.017484864;0.013444025;0.016272971;0.018315794;0.017967126;0.021443233;0.021133399;0.024118115;0.027087167;-
Nuclear, Renewables, and Other;Macau;Quad Btu;0;0;0;0;8.53E-05;0.000160364;(s);(s);0.000577856;0.000459375;0.00020565;3.11E-05;0.000544955;6.21E-05;0.000212629;0.000823364;0.000806184;0.000336989;0.000809386;0.000227183;0.000523407;0.000233311;0.001108249;0.000794387;0.000828983;0.000711871;0.002837616;0.005666321;0.007779252;0.007913502;0.008993047;0.010194322;0.01345935;0.013962954;0.01385921;0.014384357;0.015248918;-
Nuclear, Renewables, and Other;Macedonia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.010012309;0.007633809;0.008885193;0.009800572;0.010363349;0.010606439;0.014704034;0.016129148;0.015199926;0.010678222;0.011864392;0.017813097;0.018595347;0.019847635;0.022438554;0.019778753;0.018716685;0.017029435;0.028951249;0.024649913;0.019241129;0.023472955;0.022760363;0.027428886;0.026259263;-
Nuclear, Renewables, and Other;Madagascar;Quad Btu;0.001752135;0.001871441;0.00264519;0.00283644;0.002795721;0.00275818;0.002933188;0.003683193;0.003531566;0.003915509;0.003717065;0.003327754;0.003731603;0.00400611;0.003565328;0.003625684;0.004221809;0.004671744;0.005174394;0.005256845;0.005838654;0.005982688;0.005783195;0.006653883;0.00634033;0.006370329;0.006899074;0.007089169;0.007172043;0.007790539;0.007685775;0.007309527;0.006939354;0.007332518;0.008218273;0.008251588;0.008428033;-
Nuclear, Renewables, and Other;Malawi;Quad Btu;0.003639041;0.004147715;0.003746375;0.004998914;0.005129591;0.004435018;0.006115874;0.006663966;0.005700327;0.005294171;0.00701676;0.008356808;0.007668894;0.007206558;0.008325197;0.008124956;0.008419758;0.008422789;0.010552868;0.009377924;0.009880571;0.0103813;0.011095249;0.011449546;0.012017489;0.013169876;0.013923554;0.013802814;0.015398353;0.014435226;0.016789949;0.017399358;0.015375484;0.012095183;0.01318317;0.010332016;0.013158819;-
Nuclear, Renewables, and Other;Malaysia;Quad Btu;0.015036042;0.016856149;0.014209395;0.017775217;0.035590649;0.039783052;0.042424891;0.051417919;0.05795514;0.053985739;0.040506927;0.045299548;0.04377058;0.050652298;0.065875931;0.063342312;0.053340703;0.039565276;0.048799936;0.07636966;0.074937547;0.065563369;0.052189754;0.056597084;0.058154704;0.043720457;0.055154231;0.05667331;0.072215961;0.078588238;0.07264212;0.086171314;0.094032986;0.113843367;0.135129993;0.137668353;0.190484208;-
Nuclear, Renewables, and Other;Maldives;Quad Btu;0.000213;0.000207;0.000207;0.000209;0.000826;0.000904;0.000976271;0.000976271;0.000191788;0.000188884;0.000439672;0.000439672;0.000443139;(s);0.000379652;(s);(s);0.000198603;(s);(s);(s);0.000187981;(s);(s);0.000133577;7.99E-05;(s);0.000235361;0.000388957;0.000287047;0.000452596;(s);0.000256581;0.000415394;2.87E-05;(s);(s);-
Nuclear, Renewables, and Other;Mali;Quad Btu;0.000862204;0.000857146;0.00109767;0.001283442;0.00138852;0.001389451;0.001735325;0.001647784;0.001892163;0.001319292;0.00146218;0.00147966;0.002135477;0.002212768;0.002234926;0.002264982;0.00259904;0.002725845;0.001944538;0.001951216;0.002023531;0.00220079;0.002395307;0.002452074;0.002043583;0.004381028;0.005193192;0.00440216;0.005199899;0.010381973;0.010923953;0.012612599;0.012181199;0.013067988;0.01176353;0.012666408;0.013577539;-
Nuclear, Renewables, and Other;Malta;Quad Btu;0;0;0;0;0;0;4.17E-05;(s);(s);(s);(s);(s);(s);0.000444925;(s);(s);(s);0.000159081;(s);0.00014008;0.000169858;(s);(s);(s);(s);(s);0.000224979;(s);0.000485473;(s);(s);0.000556126;(s);0.000202338;0.000318632;0.004370659;0.006838179;-
Nuclear, Renewables, and Other;Martinique;Quad Btu;0;0;0;0;0;0;0.000372935;(s);0.000453962;(s);(s);0.000227151;6.39E-05;0.00033631;2.70E-06;0.000386169;0.0004612;(s);(s);(s);0.000104462;0.000220539;0.000449146;(s);8.32E-05;0.000462852;0.00032088;(s);(s);(s);(s);8.41E-05;(s);(s);0.000142053;(s);(s);-
Nuclear, Renewables, and Other;Mauritania;Quad Btu;0.0002597;0.00031359;0.000397252;0.000410281;0.00037584;0.000323857;0.00024499;7.13E-05;3.99E-05;(s);0.000462137;0.000101627;(s);5.21E-05;(s);0.000622192;0.000195955;0.000273668;0.00048227;0.000503534;0.000211029;(s);0.000281776;(s);0.000497847;0.000226473;0.000662172;0.00066349;0.000333393;0.001104493;0.000881249;0.001157157;0.001586756;0.002128785;0.001529618;0.003001442;0.002614557;-
Nuclear, Renewables, and Other;Mauritius;Quad Btu;0.000851816;0.000616727;0.000972222;0.000368201;0.001322117;0.002066141;0.001803111;0.001734787;0.001026022;0.001455045;0.001109842;0.000460168;0.000824556;0.00106955;(s);0.00129378;0.001360405;0.000728415;0.000722299;0.002505016;0.004830534;0.004961326;0.004974202;0.006166778;0.005884794;0.006033427;0.005753978;0.005208473;0.005164269;0.005715098;0.005882566;0.005681399;0.00529351;0.005329618;0.00562994;0.005477179;0.005968729;-
Nuclear, Renewables, and Other;Mexico;Quad Btu;0.187705125;0.269460053;0.255515929;0.231657818;0.261411818;0.29177832;0.244767235;0.232335431;0.262482829;0.306078884;0.322298724;0.336463046;0.388282728;0.416634711;0.339798026;0.45781508;0.485743298;0.460749184;0.436177458;0.514222696;0.515130788;0.4721238;0.436435746;0.399367182;0.441985055;0.488717264;0.500841397;0.471368418;0.562554449;0.440387645;0.504411216;0.533768869;0.493043128;0.478003751;0.582045212;0.543357655;0.55800378;-
Nuclear, Renewables, and Other;Moldova;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.00258071;(s);0.004159965;0.010383622;0.009470959;0.011392063;0.010508268;0.008251293;0.010314584;0.008615486;0.01073539;0.016285584;0.014158871;0.014421418;0.01544969;0.013549994;0.01382236;0.008874525;0.009558547;0.004902334;0.005423056;0.007759567;0.005267147;0.003649762;0.00218189;-
Nuclear, Renewables, and Other;Mongolia;Quad Btu;0.000555927;0.001938454;0.002616559;0.002100936;0.001193668;0.000375386;0.000339746;0.000451077;0.00026077;0.00086587;0.000243033;0.00036615;0.001051186;0.000333606;0.000251592;0.001880329;0.001236332;0.001188966;0.00081184;(s);0.000954483;0.000842288;0.000553727;(s);0.000569035;0.000510022;0.000629822;(s);0.000881767;0.000350994;0.001132791;0.001802331;0.001605434;0.004706983;0.006626738;0.006967052;0.006302155;-
Nuclear, Renewables, and Other;Montenegro;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.023384375;0.020116804;0.019246755;0.02292808;0.026344665;0.016301318;0.017948715;0.022483124;0.017198195;0.015008302;0.018461184;-
Nuclear, Renewables, and Other;Montserrat;Quad Btu;0.000256;0.000283;0.000283;0.000283;0.000284;0.000308;0.000173811;0.000217623;0.000217647;0.000217623;0.000256425;0.000448159;0.000449283;0.000448159;0.000448159;0.000660772;0.000662478;0.000660772;0.000660772;0.000660789;0.000396879;0.000396879;0.000572051;0.000572051;0.000572051;0.000572051;0.000572051;0.000635877;0.000816372;0.000690278;0.000922334;0.000637589;0.000618552;0.000779384;0.000727782;0.000823016;0.00081357;-
Nuclear, Renewables, and Other;Morocco;Quad Btu;0.015772702;0.012051403;0.006664493;0.006378081;0.00472547;0.006193991;0.007803427;0.009716609;0.010791009;0.013066599;0.01370861;0.015503662;0.014126539;0.010247942;0.014074698;0.00814428;0.02174693;0.021710308;0.020543613;0.014654392;0.014722654;0.01600398;0.015685062;0.02127161;0.023368419;0.014298741;0.018527159;0.02315653;0.026105098;0.045065018;0.05348295;0.041759378;0.039346493;0.057222259;0.054672699;0.05778432;0.059396039;-
Nuclear, Renewables, and Other;Mozambique;Quad Btu;0.139258616;0.03498608;0.030001924;0.053244387;0.005002004;0.001996751;0.001416125;0.001567145;0.001592359;0.001258623;0.003644966;0.005133247;0.004883398;0.006369501;0.005700444;0.00576733;0.006706773;0.010820426;0.014056762;0.059787259;0.082659136;0.108913453;0.109382914;0.10435377;0.111206462;0.12254781;0.134131061;0.145225915;0.13533467;0.146379741;0.14893109;0.150819252;0.138139283;0.135298181;0.144142237;0.15080842;0.128859723;-
Nuclear, Renewables, and Other;Namibia;Quad Btu;--;--;--;--;--;--;--;--;--;--;0.00166226;0.002415675;0.002134146;0.003547557;0.002542654;0.014298179;0.012356143;0.010289954;0.012277522;0.014560466;0.016274434;0.017084684;0.019157134;0.019771209;0.02092724;0.021788791;0.022597366;0.02221154;0.022300042;0.021203582;0.020206837;0.021970724;0.023592549;0.021810934;0.023227346;0.022673766;0.022373229;-
Nuclear, Renewables, and Other;Nauru;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);(s);(s);(s);(s);(s);0.000135371;0.000140859;0.000135371;0.000135371;0.000135382;(s);0.000415747;0.000328913;0.000191369;0.000118101;9.57E-05;0.000797771;0.000776977;0.000790272;0.000768162;0.000809698;0.000372231;0.000791126;0.000896848;0.000941001;0.000975371;2.31E-05;-
Nuclear, Renewables, and Other;Nepal;Quad Btu;0.00228051;0.002325145;0.002465252;0.003800194;0.004049723;0.003550986;0.004903515;0.005025612;0.0066136;0.005665291;0.009735912;0.008467042;0.009698174;0.010185103;0.009002225;0.012246735;0.011584586;0.010186583;0.011711153;0.015562223;0.017193235;0.01896292;0.020766216;0.022656962;0.02459025;0.025839327;0.028021786;0.028363315;0.027978046;0.03148485;0.033506223;0.036222996;0.036197853;0.038241199;0.040154773;0.03815608;0.046879917;-
Nuclear, Renewables, and Other;Netherlands;Quad Btu;0.054631328;0.051439581;0.043455788;0.049719199;0.043799777;0.046203638;0.043522723;0.039802648;0.05285626;0.054546294;0.063139432;0.058484477;0.057506762;0.070026694;0.07852765;0.089069199;0.089694067;0.079373535;0.090522286;0.127083123;0.141784914;0.136883562;0.141332797;0.150341242;0.156009765;0.189842161;0.19164926;0.189281316;0.201665362;0.176254951;0.175015317;0.210332546;0.234878976;0.218115003;0.213383316;0.207733731;0.205515136;-
Nuclear, Renewables, and Other;Netherlands Antilles;Quad Btu;0;0;0;0;0;0;(s);4.39E-05;(s);0.000339631;8.59E-05;0.000197595;(s);(s);0.000262077;0.000477131;(s);(s);(s);5.22E-06;0.000737525;0.00078503;0.000465691;0.000157851;0.000120729;0.000136276;0.00049057;4.12E-05;0.000659134;0.000430263;0.000502466;0.000955227;0.002272292;0.002648305;0.002341706;0.001881449;0.002630713;-
Nuclear, Renewables, and Other;New Caledonia;Quad Btu;0.002944357;0.002904205;0.003932088;0.003412024;0.003786002;0.004543084;0.004730264;0.002452897;0.006294361;0.00548914;0.004624398;0.00286379;0.003624371;0.003562443;0.004153539;0.004605763;0.004276241;0.003458697;0.003968946;0.004506303;0.004221306;0.003737558;0.003385418;0.003290025;0.003134631;0.002763959;0.003120555;0.004050375;0.005206957;0.00327149;0.003610423;0.00328571;0.004146955;0.005073895;0.003204938;0.003841743;0.002694502;-
Nuclear, Renewables, and Other;New Zealand;Quad Btu;0.217323934;0.218354765;0.204592864;0.221558124;0.226798095;0.21968027;0.244425214;0.246108263;0.255433606;0.253054137;0.267930711;0.268490896;0.241185277;0.269533259;0.292818296;0.305850402;0.294130527;0.269438882;0.278219376;0.271978101;0.284672876;0.257579867;0.285711722;0.269611162;0.303416663;0.274630515;0.277024282;0.283020119;0.276351305;0.302854367;0.312365261;0.321026598;0.295469692;0.29867286;0.319530187;0.323030536;0.333629544;-
Nuclear, Renewables, and Other;Nicaragua;Quad Btu;0.005578814;0.005480568;0.005101184;0.004797446;0.0064687;0.006498811;0.005510906;0.007107896;0.00663242;0.01069667;0.008832812;0.008235922;0.007740505;0.008896443;0.007698857;0.007613189;0.0070265;0.007363764;0.004328373;0.005106338;0.004604443;0.005022972;0.006157636;0.006826887;0.007424174;0.009507293;0.007834122;0.007648384;0.011492215;0.01050999;0.012923698;0.012754598;0.0164564;0.021349157;0.022170149;0.021155486;0.022884408;-
Nuclear, Renewables, and Other;Niger;Quad Btu;0.000705119;0.001016734;0.00136815;0.000112701;0.00047662;0.000496863;0.000219527;0.000888292;0.000557405;0.000868243;0.000727906;0.000882725;0.000575594;0.000245895;0.000377408;0.000785229;0.000853471;0.000923656;0.000452983;0.000454429;0.000319624;0.001084372;0.000787458;0.000961611;0.001224662;0.000403337;0.001484972;0.001511297;0.002128462;0.00098883;0.002502847;0.00159203;0.002656085;0.001776201;0.001914904;0.002666843;0.003157129;-
Nuclear, Renewables, and Other;Nigeria;Quad Btu;0.027967564;0.024263046;0.025111809;0.018577859;0.026190893;0.030442346;0.037514329;0.034331565;0.041221311;0.043083234;0.044566742;0.061110719;0.062316046;0.056035216;0.057823243;0.056191949;0.056427133;0.056894242;0.059178879;0.0621265;0.057827133;0.060893648;0.083555838;0.07503655;0.080498225;0.077244442;0.061941044;0.061057092;0.056700813;0.044888788;0.062357162;0.05753926;0.054329036;0.050998949;0.050419242;0.053366178;0.050905979;-
Nuclear, Renewables, and Other;Niue;Quad Btu;4.30E-05;4.30E-05;4.30E-05;4.30E-05;4.30E-05;4.30E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.35E-05;9.68E-05;9.93E-05;9.58E-05;8.99E-05;8.97E-05;9.28E-05;9.18E-05;8.48E-05;0.000134064;8.82E-05;8.22E-05;4.76E-05;8.84E-05;9.68E-05;0.000100019;0.000109605;0.000104183;-
Nuclear, Renewables, and Other;Northern Mariana Islands;Quad Btu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-
Nuclear, Renewables, and Other;Norway;Quad Btu;0.871789659;0.954517914;0.947386781;1.065486328;1.081856463;1.074502182;1.016515283;1.075946405;1.108852948;1.193078542;1.210697833;1.144842975;1.181005124;1.205211134;1.156779236;1.23576253;1.11418648;1.140411576;1.199254608;1.242432019;1.38589491;1.260879995;1.284425355;1.102267775;1.137063521;1.322146186;1.196890055;1.30027139;1.335387987;1.19993782;1.186151512;1.182932236;1.321679217;1.235070153;1.267884322;1.263376102;1.300190597;-
Nuclear, Renewables, and Other;Oman;Quad Btu;0.000316;(s);(s);0.000397;0.000209;(s);0.000624673;(s);0.000166315;7.54E-05;(s);(s);0.000382185;0.000204769;0.000772039;(s);0.000191995;(s);3.30E-05;0.0004015;(s);0.000657081;0.00010663;0.00074476;0.00036312;(s);0.00032341;0.000395627;0.001064907;0.000460364;0.000175005;0.000773089;0.000162963;0.000109105;(s);0.00040334;0.00047138;-
Nuclear, Renewables, and Other;Pakistan;Quad Btu;0.089799051;0.095125965;0.101173552;0.121625813;0.135577227;0.13044522;0.147240658;0.164279521;0.172072139;0.175104946;0.179039814;0.192977651;0.221432111;0.202636779;0.23990536;0.242730511;0.217653876;0.228347944;0.231119613;0.197808104;0.179894602;0.215944608;0.245465609;0.291288858;0.276531398;0.333955534;0.34534241;0.310003543;0.293832536;0.303858851;0.339234118;0.318686539;0.341715435;0.356429721;0.367875649;0.380356142;0.409719046;-
Nuclear, Renewables, and Other;Palestinian Territories;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.003287035;0.005718294;0.004982309;0.007668679;0.006686715;0.007710385;0.007506698;0.009314817;0.009407254;0.010624821;0.010929726;0.013093816;0.013200055;0.014178483;0.016122834;0.017140102;0.016184168;0.017286253;0.023616648;0.023678335;-
Nuclear, Renewables, and Other;Panama;Quad Btu;0.010336063;0.015303196;0.012795702;0.010498978;0.0169128;0.021031746;0.0223632;0.02274855;0.024930712;0.023367093;0.025061557;0.022041226;0.020152245;0.024888753;0.025612167;0.026327133;0.031970258;0.030513162;0.022890687;0.032862672;0.035844831;0.026588234;0.034786481;0.028731433;0.03830422;0.03689059;0.036233713;0.035924562;0.040396892;0.037575949;0.041477668;0.040184013;0.050769477;0.049232634;0.04903237;0.061738873;0.064978864;-
Nuclear, Renewables, and Other;Papua New Guinea;Quad Btu;0.003241057;0.003209072;0.003146655;0.004008127;0.00423864;0.004345952;0.004577086;0.005010407;0.004741439;0.004678557;0.005159155;0.0047494;0.004786187;0.004420124;0.004721052;0.008931732;0.009899391;0.007449934;0.008768892;0.009315342;0.009503978;0.009921475;0.00967836;0.010034115;0.009324968;0.011683366;0.011559225;0.012585526;0.012404005;0.011966888;0.011807686;0.012844555;0.009097457;0.00908676;0.008283413;0.008123806;0.007451531;-
Nuclear, Renewables, and Other;Paraguay;Quad Btu;0.007455022;0.008229588;0.007943573;0.009010558;0.010096072;0.033773279;0.090650941;0.139498685;0.14828927;0.182759412;0.197903725;0.214768797;0.196839172;0.224673455;0.26010491;0.301234544;0.324371243;0.358112678;0.359530989;0.369425152;0.378470821;0.33035966;0.343247993;0.364962035;0.360895353;0.357496641;0.372620549;0.371410812;0.382823226;0.376909732;0.373833672;0.396514454;0.404767094;0.40863171;0.378730702;0.37359134;0.41784586;-
Nuclear, Renewables, and Other;Peru;Quad Btu;0.077595721;0.08799192;0.09299487;0.0886375;0.093036405;0.103226066;0.112042444;0.116743598;0.110989869;0.112401188;0.110871739;0.124070444;0.103069909;0.127204738;0.135811777;0.136829942;0.143707573;0.139824946;0.145767391;0.155711697;0.170864931;0.187115787;0.190352273;0.194393342;0.182930465;0.191341169;0.204478476;0.202442147;0.198200441;0.194399815;0.200790947;0.214778888;0.206974571;0.222226712;0.226352795;0.234587992;0.238649324;-
Nuclear, Renewables, and Other;Philippines;Quad Btu;0.061486415;0.070526154;0.079269742;0.075981012;0.102425376;0.108706603;0.109367647;0.102548024;0.115444606;0.124061149;0.124680535;0.116476562;0.104873196;0.113003413;0.130048269;0.132307034;0.143514724;0.140274741;0.145142079;0.190985278;0.20158988;0.182739121;0.177209494;0.180634901;0.188667159;0.18303297;0.202548013;0.185308521;0.20271962;0.196616501;0.172975937;0.192731185;0.195716067;0.189450945;0.187613805;0.195920952;0.201951521;-
Nuclear, Renewables, and Other;Poland;Quad Btu;(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);0.013341844;0.032779593;0.025431712;-
Nuclear, Renewables, and Other;Portugal;Quad Btu;0.09344513;0.067385955;0.085350799;0.092777446;0.106808387;0.127336463;0.100374421;0.109997565;0.139527513;0.069925962;0.102461637;0.10132401;0.060928095;0.097072883;0.121946237;0.09877304;0.164738567;0.152391075;0.142448679;0.084058889;0.133729628;0.1645894;0.108836809;0.191683104;0.147222054;0.108777897;0.176867812;0.187852582;0.179553046;0.198340522;0.286861218;0.245542028;0.212917346;0.290963366;0.302398155;0.23698512;0.281791258;-
Nuclear, Renewables, and Other;Puerto Rico;Quad Btu;0.002119153;0.001296172;0.001087216;0.000984919;0.001063036;0.001565437;0.001686594;0.002779387;0.002983385;0.002500589;0.000962886;0.001257213;0.000813897;0.000640621;6.45E-05;0.001033116;0.001384996;0.001204994;0.001354357;0.001402328;0.001391963;0.001025537;0.001626258;0.001062584;0.002428583;0.001506742;0.000751335;0.001424875;0.00131188;0.001646408;0.002053867;0.001019683;0.001070634;0.002480112;0.003718243;0.004112222;0.003187751;-
Nuclear, Renewables, and Other;Qatar;Quad Btu;(s);0.000379;(s);0.000178;(s);(s);(s);(s);0.000193651;(s);0.000599456;0.000581761;(s);(s);0.000346568;0.000408465;(s);(s);(s);(s);(s);(s);2.88E-05;0.000754439;(s);0.000814452;0.000566629;(s);(s);(s);0.000731113;(s);0.000223112;0.000185556;0.00024037;8.47E-05;5.53E-05;-
Nuclear, Renewables, and Other;Reunion;Quad Btu;0.003137177;0.003867611;0.00441159;0.004502568;0.00421776;0.005045901;0.005456356;0.005208449;0.004544737;0.004647298;0.005937154;0.005103685;0.005076712;0.004757486;0.004790894;0.005425823;0.006579556;0.006826866;0.007771166;0.007813397;0.008180658;0.007426015;0.008203846;0.007692976;0.007537427;0.007657534;0.008190238;0.008504118;0.00592441;0.005699425;0.006619176;0.005871516;0.006140733;0.007811521;0.006444014;0.007318276;0.006638425;-
Nuclear, Renewables, and Other;Romania;Quad Btu;0.211181426;0.217045898;0.193098692;0.152125216;0.170340557;0.183453701;0.174006828;0.174167229;0.191432714;0.187765911;0.175648323;0.183847715;0.138585487;0.146517036;0.13570587;0.165636139;0.171087109;0.240367774;0.249111694;0.243896654;0.216892214;0.224032571;0.227227734;0.209352408;0.257209405;0.267085123;0.240621239;0.2531152;0.297270465;0.286932727;0.344718765;0.30033951;0.287627665;0.330628417;0.379782933;0.367863071;0.37588991;-
Nuclear, Renewables, and Other;Russia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;2.976907328;2.951985434;2.717008732;2.743520082;2.620164561;2.647186573;2.603346189;2.755109574;2.94579039;3.081115056;3.021712713;2.992654544;3.144594424;3.131253317;3.222166397;3.254260652;3.167534237;3.292881254;3.281104975;3.302044323;3.304756948;3.402995349;3.447577178;3.47172613;3.609950362;-
Nuclear, Renewables, and Other;Rwanda;Quad Btu;0.001316844;0.001260907;0.001482507;0.001619231;0.00171496;0.001750418;0.001134893;0.002188908;0.002145966;0.001486913;0.002015766;0.002234755;0.001293231;0.001253366;0.001503909;0.001708819;0.00158195;0.001740899;0.001915763;0.001548825;0.001221877;0.001057872;0.001132738;0.001180605;0.000868589;0.000533669;0.000253826;0.000503285;0.000983021;0.001490315;0.001317058;0.001630356;0.001652433;0.002436604;0.003418139;0.002758657;0.002915855;-
Nuclear, Renewables, and Other;Saint Helena;Quad Btu;0;4.00E-05;4.20E-05;4.20E-05;4.20E-05;4.30E-05;4.34E-05;8.84E-05;8.84E-05;8.84E-05;8.84E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.34E-05;4.35E-05;0.000175546;0.000175289;0.000182785;0.000180843;0.000118045;0.000147334;0.000135697;0.000171927;0.000139921;0.000131572;0.000149168;0.000145937;0.000161661;0.000155076;0.000147213;0.000135521;0.000146096;-
Nuclear, Renewables, and Other;Saint Kitts and Nevis;Quad Btu;0.000746;0.000786;0.000914;0.000744;0.000746;0.000746;0.000704605;0.000704605;0.000750136;0.000748438;0.000748438;4.88E-06;7.16E-06;0.000228262;0.000440874;0.000228262;0.000444822;0.000440874;0.000440874;0.000440874;(s);(s);(s);(s);0.000223768;3.43E-06;0.000112369;0.000290683;0.000286951;0.000363548;0.000445907;(s);0.000531865;0.000519169;0.000563052;(s);0.000571729;-
Nuclear, Renewables, and Other;Saint Lucia;Quad Btu;0;0;0;0;0;0;(s);(s);(s);0.000497609;0.000497609;0.000497609;(s);0.000497609;(s);(s);(s);(s);(s);(s);(s);0.000420867;(s);0.000420058;0.00043931;(s);(s);(s);1.42E-05;(s);0.000131811;0.000223674;0.000195327;0.000179361;0.000240058;0.000283525;0.000273128;-
Nuclear, Renewables, and Other;Saint Pierre and Miquelon;Quad Btu;0;0;0;0;0;0;0.00035233;2.41E-05;3.72E-05;(s);0.000450505;0.000241493;(s);(s);(s);9.82E-05;0.000101107;0.000637838;0.00085045;0.00085045;0.00096006;0.00096006;4.70E-05;0.000178686;0.000135231;0.000178686;0.000178686;0.00022214;0.00022214;0.00022214;0.000285107;0.000293718;0.000275936;0.000306404;0.000361465;0.000361465;0.000386152;-
