"categoryCode","categoryName","Unit","CountryISO","CountryNames","Entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","EU28","European Union (28)","CH4",162.7777,154.0553,147.4193,145.1464,134.0995,133.1383,130.2235,124.0678,115.6418,111.5426,106.9164,107.0723,101.4757,99.6781,93.962,90.9729,87.088,83.6346,83.8294,79.9265,80.9064,78.4557,79.2484,76.6158,73.2447,73.399,71.3292,NaN,
"IPC1","Energy","MtCO2eq","FIN","FINLAND","CH4",0.31586,0.33578,0.34418,0.35127,0.35567,0.34917,0.35278,0.33696,0.33322,0.30904,0.29157,0.31732,0.30595,0.30693,0.29108,0.28541,0.28032,0.27193,0.27515,0.2751,0.29328,0.25334,0.26511,0.2509,0.24597,0.23785,0.24771,NaN,
"IPC1","Energy","MtCO2eq","FRA","FRANCE","CH4",10.6612,11.2496,10.9125,10.8209,10.3191,10.2374,9.3498,8.2593,8.0895,7.6449,6.5192,6.2092,5.3368,5.2408,4.7289,4.1965,3.6704,3.3369,3.2522,3.0904,3.2169,2.7885,2.837,2.8172,2.4025,2.4082,2.5094,NaN,
"IPC1","Energy","MtCO2eq","GBR","UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND","CH4",31.3661,31.7939,31.3735,29.7126,23.4134,24.1047,22.8143,21.2002,19.1024,16.8303,15.2789,14.1791,13.5378,12.1544,11.859,10.3562,9.6229,9.2187,8.9025,8.7758,8.6564,8.2698,8.2363,7.3632,7.0444,6.6153,5.8063,NaN,
"IPC1","Energy","MtCO2eq","GEO","GEORGIA","CH4",2.226,1.6338,1.2636,0.7497,0.3612,0.1365,0.1365,0.1512,NaN,NaN,2.3898,1.5607,1.5189,1.79,1.5823,1.2149,2.4926,2.5176,2.1532,1.4691,1.6535,2.113,2.3957,2.0645,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","GHA","GHANA","CH4",0.6116,0.63118,0.65373,0.74088,0.74907,0.78561,0.78624,0.79533,0.79259,0.85281,0.87486,1.2896,1.3409,1.3883,1.4202,1.4261,1.4377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","GRC","GREECE","CH4",1.1816,1.2106,1.2656,1.2483,1.2713,1.288,1.3319,1.3159,1.3641,1.3955,1.4574,1.4934,1.5489,1.5107,1.5571,1.5389,1.4632,1.5019,1.487,1.4591,1.3358,1.386,1.4547,1.2578,1.1755,1.1106,0.85467,NaN,
"IPC1","Energy","MtCO2eq","GTM","GUATEMALA","CH4",0.72242,NaN,NaN,NaN,0.72242,NaN,NaN,NaN,NaN,NaN,0.87387,NaN,NaN,NaN,NaN,0.93442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","HRV","CROATIA","CH4",0.70796,0.66568,0.58597,0.61133,0.5562,0.57039,0.59661,0.56859,0.55808,0.53827,0.49659,0.53118,0.52365,0.56628,0.55532,0.57229,0.56053,0.55855,0.54723,0.55107,0.57221,0.54465,0.513,0.501,0.45056,0.49986,0.4919,NaN,
"IPC1","Energy","MtCO2eq","HUN","HUNGARY","CH4",2.6057,2.5865,2.0371,2.0281,1.9171,1.6423,1.723,1.6444,1.5175,1.4671,1.5633,1.6004,1.468,1.6148,1.3987,1.3021,1.2902,1.23,1.1888,1.253,1.3448,1.309,1.2811,1.2338,1.1593,1.117,1.1685,NaN,
"IPC1","Energy","MtCO2eq","IDN","INDONESIA","CH4",39.6434,44.3321,46.6679,48.0917,50.3103,NaN,NaN,NaN,NaN,NaN,30.1745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","IND","INDIA","CH4",NaN,NaN,NaN,NaN,60.816,NaN,NaN,NaN,NaN,NaN,62.8198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.2203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","IRL","IRELAND","CH4",0.6088,0.58888,0.52595,0.51227,0.47023,0.43939,0.43422,0.39708,0.39678,0.34098,0.3349,0.33332,0.30403,0.85083,0.28601,0.2849,0.26809,0.27553,0.27313,0.26125,0.24679,0.22641,0.21861,0.22326,0.20676,0.19799,0.18985,NaN,
