"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPCMLULUCF","LULUCF","MtCO2eq","BRA","BRAZIL","N2O",13.1936,12.7658,14.5979,15.2148,15.1001,33.1638,25.0139,21.7961,24.8186,24.7845,25.4076,25.4169,27.9217,44.9345,47.2471,38.8275,32.5996,30.349,31.4495,16.0146,14.5948,14.3034,14.012,1.6058,3.6478,4.4071,1.2636,,
"IPCMLULUCF","LULUCF","MtCO2eq","CAN","CANADA","N2O",0.61369,0.58678,0.8437,0.70349,0.79634,0.69534,0.72652,0.65647,0.68413,0.7264,0.78459,0.69177,0.71589,0.74833,0.69219,0.69358,0.71002,0.51885,0.49584,0.42251,0.43537,0.49968,0.73803,0.84764,0.53501,0.63338,0.63017,,
"IPCMLULUCF","LULUCF","MtCO2eq","CHN","CHINA","N2O",0.4376,0.4376,0.4376,0.4376,0.4376,0.4376,0.52505,0.54932,0.63001,0.58658,0.67307,0.35786,0.1581,1.3518,0.39144,0.20389,0.44699,0.38778,0.7683,0.25308,0.31422,0.16728,0.18464,0.17555,0.30619,0.32079,0.19758,,
"IPCMLULUCF","LULUCF","MtCO2eq","ETH","ETHIOPIA","N2O",0.43781,0.43781,0.43781,0.43747,0.43747,0.43747,0.47371,0.9088,0.96367,1.2704,0.94941,0.1958,0.25798,0.42575,0.42817,0.2993,0.30399,0.24183,0.28291,0.21545,0.18293,0.18594,0.3167,0.30309,0.28225,0.26145,0.24854,,
"IPCMLULUCF","LULUCF","MtCO2eq","EU28","European Union (28)","N2O",14.238,14.4256,14.3001,14.7987,14.9441,14.5837,14.5105,14.4649,14.7335,14.4464,14.9128,14.6318,14.6065,14.9907,14.6577,14.8736,14.7354,15.0116,14.6796,14.9013,14.8965,14.985,15.2435,14.6992,15.0442,15.3493,15.738,,
"IPCMLULUCF","LULUCF","MtCO2eq","IND","INDIA","N2O",0.47278,0.47278,0.47278,0.47278,0.01364,0.36012,0.70659,1.0531,1.3995,1.746,2.0925,1.9412,1.7899,1.6387,1.4874,1.3361,1.1848,1.0335,0.88226,0.73098,0.5797,0.31567,0.69124,0.47445,0.55661,0.53636,0.13154,,
"IPCMLULUCF","LULUCF","MtCO2eq","MAR","MOROCCO","N2O",0.000589,0.000589,0.000589,0.000589,0.000589,0.000589,0.000775,0.000465,0.000527,0.001054,0.000124,0,0,0,0.000186,0.000961,0.00496,9.3e-05,0.000186,0,0,9.3e-05,0.001116,0,0.000434,0.000775,0.00056213,,
"IPCMLULUCF","LULUCF","MtCO2eq","MEX","MEXICO","N2O",0.32686,0.32686,0.32686,0.32686,0.32686,0.32686,0.306,0.12545,0.79953,0.25319,0.25518,0.11367,0.21064,0.31204,0.07626,0.26735,0.24141,0.15675,0.23807,0.31561,0.11509,1.1593,0.31708,0.52415,0.036053,0.44429,0.46965,,
"IPCMLULUCF","LULUCF","MtCO2eq","PER","PERU","N2O",0.038409,0.038409,0.038409,0.038409,0.372,0.31783,0.26367,0.2095,0.15533,0.10117,0.047,0.082072,0.11714,0.15222,0.18729,0.22236,0.25743,0.2925,0.32758,0.36265,0.39772,0.51086,0.624,0.033015,0.021111,0.045322,0.28604,,
"IPCMLULUCF","LULUCF","MtCO2eq","VNM","VIET NAM","N2O",0.1874,0.1874,0.1874,0.1874,0.3844,0.36993,0.35547,0.341,0.32653,0.31207,0.2976,0.27959,0.26158,0.24356,0.22555,0.20754,0.18953,0.17152,0.1535,0.13549,0.11748,0.08452,0.05156,0.0186,0.21805,0.17865,0.073754,,

