variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GDP,2005USD,n/a,Economy,ECO,misc,BHS,Bahamas,WDI2017P,HISTORY,1.522e+09,1.684e+09,1.86e+09,2.056e+09,2.272e+09,2.509e+09,2.736e+09,2.999e+09,3.252e+09,3.544e+09,3.343e+09,3.398e+09,3.279e+09,3.527e+09,2.936e+09,2.502e+09,2.631e+09,2.872e+09,3.279e+09,4.137e+09,4.405e+09,3.999e+09,4.267e+09,4.42e+09,5.047e+09,5.29e+09,5.385e+09,5.546e+09,5.674e+09,6.056e+09,5.959e+09,5.71e+09,5.492e+09,5.509e+09,5.682e+09,5.931e+09,6.181e+09,6.309e+09,6.606e+09,7.078e+09,7.372e+09,7.566e+09,7.77e+09,7.672e+09,7.74e+09,8.002e+09,8.204e+09,8.323e+09,8.129e+09,7.79e+09,7.91e+09,7.958e+09,8.204e+09,8.205e+09,8.162e+09,8.026e+09
GDP,2005USD,n/a,Economy,ECO,misc,BIH,Bosnia and herzegovina,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.758e+09,3.332e+09,6.296e+09,8.461e+09,9.781e+09,1.072e+10,1.131e+10,1.181e+10,1.243e+10,1.293e+10,1.372e+10,1.492e+10,1.572e+10,1.662e+10,1.754e+10,1.703e+10,1.716e+10,1.732e+10,1.716e+10,1.757e+10,1.776e+10,1.83e+10
GDP,2005USD,n/a,Economy,ECO,misc,BLR,Belarus,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.052e+10,3.015e+10,2.726e+10,2.519e+10,2.224e+10,1.993e+10,2.049e+10,2.282e+10,2.474e+10,2.558e+10,2.706e+10,2.834e+10,2.977e+10,3.187e+10,3.552e+10,3.886e+10,4.274e+10,4.642e+10,5.115e+10,5.125e+10,5.522e+10,5.828e+10,5.929e+10,5.993e+10,6.096e+10,5.859e+10
GDP,2005USD,n/a,Economy,ECO,misc,BLZ,Belize,WDI2017P,HISTORY,9.874e+07,1.036e+08,1.086e+08,1.14e+08,1.197e+08,1.256e+08,1.316e+08,1.381e+08,1.483e+08,1.558e+08,1.633e+08,1.698e+08,1.871e+08,1.972e+08,2.239e+08,2.319e+08,2.319e+08,2.469e+08,2.665e+08,2.865e+08,3.3e+08,3.342e+08,3.333e+08,3.263e+08,3.326e+08,3.362e+08,3.516e+08,3.91e+08,4.271e+08,4.83e+08,5.344e+08,5.905e+08,6.615e+08,7.031e+08,7.042e+08,7.087e+08,7.188e+08,7.443e+08,7.722e+08,8.4e+08,9.495e+08,9.971e+08,1.048e+09,1.146e+09,1.199e+09,1.23e+09,1.286e+09,1.301e+09,1.343e+09,1.353e+09,1.398e+09,1.428e+09,1.481e+09,1.501e+09,1.562e+09,1.578e+09
GDP,2005USD,n/a,Economy,ECO,misc,BMU,Bermuda,WDI2017P,HISTORY,1.236e+09,1.294e+09,1.352e+09,1.366e+09,1.518e+09,1.59e+09,1.819e+09,2.06e+09,2.103e+09,2.176e+09,2.313e+09,2.393e+09,2.436e+09,2.472e+09,2.494e+09,2.588e+09,2.819e+09,2.985e+09,3.029e+09,3.094e+09,3.339e+09,3.419e+09,3.238e+09,3.303e+09,3.319e+09,3.253e+09,3.47e+09,3.6e+09,3.746e+09,3.762e+09,3.763e+09,3.63e+09,3.628e+09,3.737e+09,3.759e+09,3.925e+09,4.027e+09,4.212e+09,4.376e+09,4.524e+09,4.946e+09,5.303e+09,5.225e+09,5.403e+09,5.528e+09,5.621e+09,5.933e+09,6.101e+09,6.195e+09,5.867e+09,5.744e+09,5.553e+09,5.284e+09,5.151e+09,NaN,NaN
GDP,2005USD,n/a,Economy,ECO,misc,BOL,Bolivia- the plurinational state of,WDI2017P,HISTORY,4.819e+09,4.919e+09,5.193e+09,5.526e+09,5.791e+09,6.117e+09,6.515e+09,6.965e+09,6.117e+09,6.307e+09,6.275e+09,6.593e+09,7.118e+09,7.527e+09,7.748e+09,8.315e+09,8.698e+09,9.131e+09,9.318e+09,9.331e+09,9.203e+09,9.228e+09,8.865e+09,8.506e+09,8.489e+09,8.347e+09,8.132e+09,8.332e+09,8.575e+09,8.9e+09,9.312e+09,9.803e+09,9.964e+09,1.039e+10,1.087e+10,1.138e+10,1.188e+10,1.247e+10,1.31e+10,1.315e+10,1.348e+10,1.371e+10,1.405e+10,1.443e+10,1.503e+10,1.57e+10,1.645e+10,1.72e+10,1.826e+10,1.887e+10,1.965e+10,2.067e+10,2.173e+10,2.321e+10,2.447e+10,2.566e+10
GDP,2005USD,n/a,Economy,ECO,misc,BRA,Brazil,WDI2017P,HISTORY,2.473e+11,2.727e+11,2.869e+11,2.895e+11,2.995e+11,3.087e+11,3.215e+11,3.373e+11,3.759e+11,4.124e+11,4.486e+11,4.993e+11,5.595e+11,6.377e+11,6.953e+11,7.316e+11,8.032e+11,8.402e+11,8.673e+11,9.26e+11,1.01e+12,9.66e+11,9.716e+11,9.385e+11,9.879e+11,1.066e+12,1.152e+12,1.193e+12,1.192e+12,1.231e+12,1.193e+12,1.211e+12,1.205e+12,1.261e+12,1.329e+12,1.387e+12,1.418e+12,1.466e+12,1.471e+12,1.478e+12,1.539e+12,1.56e+12,1.608e+12,1.626e+12,1.72e+12,1.775e+12,1.845e+12,1.957e+12,2.057e+12,2.054e+12,2.209e+12,2.297e+12,2.341e+12,2.409e+12,2.422e+12,2.33e+12
GDP,2005USD,n/a,Economy,ECO,misc,BRB,Barbados,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.269e+09,3.207e+09,3.049e+09,3.065e+09,3.175e+09,3.21e+09,3.374e+09,3.461e+09,3.583e+09,3.711e+09,3.589e+09,3.449e+09,3.252e+09,3.278e+09,3.344e+09,3.412e+09,3.547e+09,3.715e+09,3.854e+09,3.867e+09,4.039e+09,3.943e+09,3.974e+09,4.061e+09,4.118e+09,4.281e+09,4.524e+09,4.604e+09,4.622e+09,4.435e+09,4.447e+09,4.48e+09,4.494e+09,4.491e+09,4.499e+09,4.539e+09
GDP,2005USD,n/a,Economy,ECO,misc,BRN,Brunei darussalam,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.076e+09,7.101e+09,8.533e+09,9.464e+09,1.011e+10,1.239e+10,1.152e+10,9.235e+09,9.601e+09,9.649e+09,9.707e+09,9.562e+09,9.302e+09,9.489e+09,9.593e+09,9.49e+09,9.594e+09,9.895e+09,1.037e+10,1.04e+10,1.072e+10,1.121e+10,1.153e+10,1.136e+10,1.129e+10,1.164e+10,1.197e+10,1.23e+10,1.278e+10,1.315e+10,1.321e+10,1.326e+10,1.385e+10,1.387e+10,1.36e+10,1.336e+10,1.371e+10,1.422e+10,1.435e+10,1.405e+10,1.372e+10,1.364e+10
GDP,2005USD,n/a,Economy,ECO,misc,BTN,Bhutan,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.652e+08,1.881e+08,1.946e+08,2.166e+08,2.263e+08,2.358e+08,2.635e+08,3.391e+08,3.56e+08,3.824e+08,4.24e+08,4.223e+08,4.417e+08,4.505e+08,4.728e+08,5.063e+08,5.344e+08,5.632e+08,5.965e+08,6.441e+08,6.887e+08,7.452e+08,8.252e+08,8.884e+08,9.408e+08,1.008e+09,1.077e+09,1.27e+09,1.33e+09,1.419e+09,1.585e+09,1.711e+09,1.797e+09,1.836e+09,1.941e+09,2.067e+09
